direction,label,gen,best,avg,worst,std
D1_double_ko,D1 double ko,0,0.0,0.0,0.0,0.0
D1_double_ko,D1 double ko,5,0.0,0.0,0.0,0.0
D1_double_ko,D1 double ko,10,0.0,0.0,0.0,0.0
D1_double_ko,D1 double ko,15,0.0,0.0,0.0,0.0
D1_double_ko,D1 double ko,20,1.08,0.5117,0.0,0.3986
D1_double_ko,D1 double ko,25,1.0455,0.3826,0.0,0.4339
D1_double_ko,D1 double ko,30,1.2892,0.7286,0.0,0.4095
D1_double_ko,D1 double ko,35,1.3063,0.999,0.0,0.2493
D1_double_ko,D1 double ko,40,1.3284,1.0726,0.7694,0.1635
D1_double_ko,D1 double ko,45,1.3915,1.0737,0.7705,0.1881
D1_double_ko,D1 double ko,50,1.3669,1.0759,0.7897,0.1768
D1_double_ko,D1 double ko,55,1.3819,1.0548,0.0,0.2483
D1_double_ko,D1 double ko,60,1.3936,1.1148,0.7627,0.2152
D1_double_ko,D1 double ko,65,1.4021,1.0456,0.5701,0.2045
D1_double_ko,D1 double ko,70,1.3926,1.0801,0.0,0.2299
D1_double_ko,D1 double ko,75,1.3582,1.0873,0.7641,0.2083
D1_double_ko,D1 double ko,80,1.3628,1.0773,0.6796,0.2067
D1_double_ko,D1 double ko,85,1.3643,1.0155,0.0,0.2411
D1_double_ko,D1 double ko,90,1.3577,1.0755,0.7188,0.1941
D1_double_ko,D1 double ko,95,1.361,1.0378,0.6727,0.2075
D1_double_ko,D1 double ko,100,1.3623,1.0661,0.7991,0.1831
D1_double_ko,D1 double ko,105,1.3593,1.0365,0.0,0.2534
D1_double_ko,D1 double ko,110,1.3876,1.0114,0.0,0.291
D1_double_ko,D1 double ko,115,1.358,1.0376,0.0,0.2657
D1_double_ko,D1 double ko,120,1.3604,1.0755,0.0,0.2743
D1_double_ko,D1 double ko,125,1.362,1.0988,0.7037,0.1931
D1_double_ko,D1 double ko,130,1.3585,1.0641,0.6987,0.2054
D1_double_ko,D1 double ko,135,1.3711,1.1293,0.7626,0.184
D1_double_ko,D1 double ko,140,1.3711,1.0709,0.0,0.2381
D1_double_ko,D1 double ko,145,1.3741,1.061,0.6189,0.1711
D1_double_ko,D1 double ko,150,1.3711,1.0932,0.811,0.1725
D1_double_ko,D1 double ko,155,1.3702,1.1096,0.8393,0.1752
D1_double_ko,D1 double ko,160,1.3783,1.0933,0.5637,0.1946
D1_double_ko,D1 double ko,165,1.386,1.1355,0.8417,0.1743
D1_double_ko,D1 double ko,170,1.4147,1.0904,0.5694,0.2167
D1_double_ko,D1 double ko,175,1.4232,1.1295,0.0059,0.236
D1_double_ko,D1 double ko,180,1.426,1.1143,0.854,0.2135
D1_double_ko,D1 double ko,185,1.4273,1.1105,0.8548,0.1886
D1_double_ko,D1 double ko,190,1.4218,1.0641,0.7485,0.1745
D1_double_ko,D1 double ko,195,1.4249,1.1398,0.8551,0.181
