gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
0,0.9987,1.0153,0.1221,0.9941,0.985,0.0935,0.01,0.01,0.0,1.0141,0.9853,0.093,0.01,0.01,0.0,0.8969,0.893,0.0816,0.9901,0.9952,0.1118,0.4938,0.4958,0.0528,1.0131,1.0093,0.0929
5,1.0235,0.969,0.4881,1.007,0.9524,0.5197,0.0113,0.01,0.0047,1.0465,0.9779,0.4683,0.0108,0.01,0.0028,0.8861,0.8684,0.4108,1.077,1.0396,0.4331,0.552,0.5424,0.1742,1.1158,1.0146,0.5057
10,1.0803,1.0031,0.5983,0.9842,0.9229,0.9235,0.0129,0.01,0.007,0.9475,0.9473,0.3185,0.0104,0.01,0.001,1.041,0.9374,0.5197,1.0334,0.9599,0.4801,0.6117,0.5511,0.3104,1.4556,1.0313,0.9761
15,1.2318,1.0594,0.7376,0.9298,0.9229,0.7644,0.0167,0.01,0.01,0.8857,0.9615,0.5059,0.0114,0.01,0.0047,0.9132,0.9298,0.3852,1.1435,0.9566,0.7361,0.5791,0.5548,0.2089,1.609,1.0146,2.0846
20,0.9389,1.0206,0.3598,1.4391,0.9014,1.6792,0.0194,0.0124,0.0127,1.0436,0.9763,0.5363,0.0295,0.03,0.0239,1.2096,0.9521,0.7502,1.857,1.0465,1.5277,0.5868,0.5914,0.0889,2.1804,1.0188,3.0199
25,0.7456,0.9002,0.3583,1.6718,0.9565,1.5774,0.0451,0.0176,0.0608,1.1157,0.9306,0.5703,0.0421,0.03,0.0335,1.0724,0.989,0.6286,1.2725,1.0018,0.7883,0.5977,0.6083,0.1827,2.7335,1.0505,3.2282
30,0.7376,0.9002,0.3543,1.8789,1.1308,2.1246,0.0837,0.0176,0.1084,0.9638,0.9306,0.3428,0.0947,0.09,0.0851,1.1652,0.9597,1.0038,1.2271,1.0364,0.6386,0.5599,0.5531,0.0783,2.3907,1.0505,2.853
35,0.7749,0.7809,0.745,1.179,0.7217,1.1465,0.1313,0.0121,0.1894,0.7232,0.7379,0.322,0.2683,0.2072,0.2459,1.3743,1.1581,1.1875,1.4158,1.1816,0.7206,0.5635,0.548,0.247,2.239,1.0505,2.1574
40,0.4454,0.2448,1.227,0.8183,0.9383,0.5954,0.2543,0.2144,0.2288,0.6822,0.7272,0.2915,0.5407,0.81,0.4697,1.9769,0.4969,2.7381,1.0379,1.1185,0.3892,0.7736,0.5415,0.4852,1.5522,1.0679,2.0805
45,0.255,0.2612,0.1561,2.1344,0.9202,2.6519,0.3476,0.4827,0.2599,0.8308,0.7591,0.2905,0.7051,0.81,0.4146,1.4888,0.1039,3.4342,1.215,1.2566,0.45,0.8052,0.4427,0.6087,1.3291,0.7096,1.4764
50,0.3963,0.2576,0.5149,2.338,1.1786,3.0096,0.4585,0.4827,0.2795,0.9666,0.8392,0.3882,0.6314,0.81,0.4747,2.2768,0.1039,4.102,1.0952,1.1326,0.4166,0.9023,0.5415,0.6307,1.7305,1.3384,1.8905
55,0.678,0.1288,1.0728,3.7386,1.9119,3.8837,0.5324,0.5126,0.2386,1.0886,0.7591,0.55,0.6682,0.9122,0.5282,6.1159,10.0,4.7014,1.0749,1.055,0.3117,1.0232,0.582,1.0294,1.359,1.401,1.2364
60,0.0862,0.0592,0.0886,4.5071,2.4192,4.0952,0.5963,0.5366,0.2166,0.9076,0.765,0.5885,0.5296,0.9122,0.4735,5.1266,4.9698,4.7677,1.1723,1.049,0.541,0.8411,0.4642,0.7574,1.5832,1.401,2.0208
65,0.0467,0.0224,0.0827,5.0095,7.3813,3.8052,0.6379,0.5447,0.313,0.7978,0.8879,0.4338,0.7141,0.9498,0.5148,5.0432,3.0,4.6066,0.9503,1.049,0.6095,0.5774,0.467,0.5051,0.6233,0.1646,0.6496
70,0.0154,0.0114,0.0066,5.1934,7.5411,3.7153,0.4283,0.505,0.5078,0.948,0.8879,0.5316,0.7014,0.9122,0.4395,4.5859,1.0,4.5315,0.9288,1.049,0.492,0.7465,0.4862,0.4257,1.2534,0.7826,1.5289
75,0.0139,0.01,0.0067,2.3497,1.2403,2.6177,0.18,0.0537,0.2049,0.9367,0.8879,0.2895,0.6827,0.9255,0.5447,2.1765,1.0231,3.0476,1.1035,1.049,0.4247,0.8159,0.9289,0.5046,1.1983,1.4946,0.8291
80,0.0154,0.0125,0.0071,3.3475,1.404,2.9736,0.2464,0.0537,0.3017,0.9622,0.8795,0.3729,0.6201,0.7878,0.4635,1.7507,1.0,2.5855,1.0959,1.049,0.56,0.7347,0.3999,0.6765,2.0895,1.4946,1.352
85,0.0188,0.0187,0.0084,1.592,1.404,1.5312,0.1637,0.0537,0.1808,0.8524,0.7326,0.2553,0.9228,1.0743,0.4835,0.6931,0.0103,1.1064,0.9228,1.0493,0.3647,1.183,1.0316,0.7943,3.0152,2.5334,1.7093
