gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
0,0.9836,0.9888,0.0933,0.9822,0.9854,0.0989,1.0037,1.0198,0.0865,1.0195,1.018,0.0937,0.9896,0.9846,0.0936,0.8995,0.8969,0.0838,1.0039,0.9966,0.1011,0.5147,0.509,0.0517,0.9905,0.9793,0.0956
5,1.0475,0.9945,0.572,1.0008,0.9695,0.3179,0.9599,1.0018,0.3904,0.9728,0.9937,0.1938,0.8239,0.9725,0.3705,1.0544,0.9468,0.5583,1.0128,1.0044,0.0785,0.5185,0.5128,0.1723,1.2628,0.9758,1.259
10,1.0927,0.9494,0.7386,0.8246,0.9492,0.4905,0.9168,0.9734,0.26,1.0859,1.0297,0.2828,0.5464,0.1069,0.6317,1.2227,1.0019,0.6024,1.007,1.0044,0.0972,0.5567,0.5176,0.2507,1.2063,0.9939,1.5557
15,1.014,0.8959,0.8817,1.3924,0.8879,2.0321,1.0898,0.9734,0.362,1.0053,1.0297,0.2027,0.7782,0.9725,0.6829,1.1597,0.8624,0.7345,0.9274,1.0044,0.264,0.5067,0.4631,0.3183,0.8953,1.0298,0.3683
20,0.9489,0.8959,0.7114,1.7715,1.0636,1.7316,0.994,0.9734,0.1184,1.0547,0.9937,0.3027,0.6477,0.9605,0.5043,0.7618,0.7693,0.1883,1.0621,1.0352,0.3606,0.6942,0.4631,0.6142,0.4343,0.1152,0.3984
25,1.1215,0.9542,0.9246,1.6117,1.5394,1.0364,0.9268,0.9734,0.2737,1.0583,0.9937,0.3142,0.6598,0.9605,0.4711,0.7238,0.7054,0.4332,1.0811,1.0352,0.3627,1.0063,0.5437,0.9615,0.6364,0.7383,0.4737
30,1.4604,0.959,1.256,2.4789,2.7392,1.1965,0.9568,0.9734,0.3816,0.9653,0.9937,0.3223,0.6418,0.9571,0.4501,0.8279,0.7481,0.5324,1.0275,1.0044,0.1147,0.5572,0.4113,0.5258,1.0376,0.9939,0.9334
35,0.8997,0.2784,1.2054,2.45,2.3992,0.5803,0.9423,0.9734,0.3938,1.0476,0.9937,0.4631,0.9245,1.0464,0.3452,0.6199,0.7007,0.225,1.023,1.0331,0.1512,0.7242,0.3862,0.8557,0.37,0.1152,0.4074
40,1.2586,0.8652,1.2861,2.5546,2.3992,0.8464,0.9648,1.0069,0.59,1.0219,0.9937,0.3105,0.7732,0.9605,0.5388,0.6781,0.718,0.2013,1.044,1.019,0.3269,1.3451,0.3961,1.7686,0.4855,0.112,0.4761
45,0.5915,0.6336,0.4321,2.213,2.2468,0.4559,1.0721,1.1183,0.1977,0.9918,0.9937,0.0745,0.6295,0.7434,0.6324,0.7761,0.6473,0.3887,1.0247,1.0331,0.3608,0.722,0.1389,1.195,0.3738,0.112,0.9178
