gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
0,0.9801,0.951,0.1058,1.0065,1.0141,0.1061,0.9836,0.9783,0.0947,1.0171,1.0144,0.1149,1.0126,0.9911,0.1074,0.8988,0.8949,0.0973,1.0166,1.0246,0.0867,0.4993,0.4881,0.0505,1.0037,1.0158,0.0944
5,0.9904,0.9479,0.6111,1.1332,1.0199,0.5161,1.0687,0.9885,0.3446,1.0116,1.0084,0.3423,0.7711,0.989,0.4082,0.897,0.8919,0.3218,0.8895,0.9889,0.2749,0.4937,0.5126,0.1619,1.2206,0.9919,0.8407
10,0.627,0.8531,0.4547,1.2652,0.8687,1.132,1.0658,0.9935,0.3636,1.0727,1.0052,0.4119,0.7648,0.9182,0.4208,0.6535,0.8349,0.4003,0.8126,0.9889,0.4189,0.6133,0.5116,0.4387,0.9103,0.82,0.8586
15,0.3706,0.4942,0.3927,1.2215,0.8687,0.8942,0.9129,0.9656,0.2162,1.0524,0.9793,0.4523,0.5722,0.7523,0.4539,0.7747,0.7838,0.6011,0.9353,0.9889,0.412,0.5884,0.5054,0.3226,0.7904,0.7407,0.3984
20,0.5023,0.4942,0.5231,1.3894,0.7757,1.3975,0.8951,0.9208,0.264,1.0432,1.0623,0.1994,0.7699,0.9182,0.5422,1.1026,1.0927,0.9422,0.9256,1.0281,0.6438,0.4142,0.5054,0.2203,0.7412,0.7497,0.3251
25,0.3551,0.4796,0.336,2.2661,2.0969,2.1099,0.8105,0.9208,0.408,1.1025,1.0073,0.4124,0.6881,0.9182,0.6128,0.7762,0.952,0.4909,1.0092,0.9761,0.6724,0.3389,0.4296,0.2577,0.9434,0.6786,1.0606
30,0.4381,0.4869,0.2984,2.8028,2.8955,2.5895,0.6362,0.9208,0.4284,1.0395,0.9719,0.3513,0.9166,0.9182,0.6705,0.7566,0.9258,0.3642,0.9721,1.0101,0.4014,0.3515,0.1516,0.3915,1.0213,0.7407,1.3113
35,0.3921,0.4942,0.2148,1.3397,1.1176,1.0581,0.8355,0.9729,0.4825,1.0395,0.9677,0.6835,0.6738,0.9182,0.4445,0.8199,0.9258,0.2779,0.8711,1.0281,0.3381,0.2013,0.0837,0.2525,0.7732,0.7407,0.5634
40,0.2599,0.2145,0.24,1.8748,1.1915,1.6493,0.8617,1.0061,0.3317,0.8495,0.9635,0.3034,0.7227,0.9182,0.469,0.9159,0.8403,0.6489,0.7432,0.9309,0.4595,0.2818,0.1827,0.3489,0.8877,0.7843,1.0778
45,0.3168,0.3914,0.2145,1.4458,1.1915,1.0827,0.9646,1.0061,0.4173,0.9582,0.9786,0.3027,0.8097,0.9044,0.7513,0.7327,0.7642,0.7384,0.9007,0.9594,0.2772,0.4348,0.2572,0.3888,0.9796,0.9738,0.3527
50,0.3114,0.3914,0.2441,1.5945,1.497,1.7722,0.9734,1.0061,0.7269,1.1312,1.0211,0.4416,0.7332,0.8563,0.6959,0.4893,0.5202,0.3276,0.994,1.0417,0.2128,0.4849,0.288,0.4036,1.0132,0.964,0.4034
55,0.3467,0.4386,0.2028,2.1063,1.1915,3.0974,0.8136,1.0061,0.3786,1.1011,0.9719,0.5072,0.6664,0.8592,0.5222,0.615,0.7333,0.4961,1.0918,1.0179,0.2379,0.4482,0.2218,0.5475,1.4062,0.7908,1.5746
60,0.1755,0.1005,0.2707,3.8552,0.8986,4.569,0.9116,1.0299,0.5065,1.0381,1.0223,0.2763,0.6706,0.9499,0.5575,0.4878,0.4462,0.373,1.2122,1.1373,0.7188,0.4641,0.2705,0.3897,2.3234,2.3724,1.9533
65,0.1019,0.0941,0.1348,0.6591,0.0964,2.1546,0.9472,0.9968,0.2783,1.0634,0.9971,0.3964,1.0877,1.1568,0.5046,0.2432,0.0791,0.3261,1.101,1.0622,0.4338,0.5405,0.427,0.3862,3.8949,2.3798,2.9188
70,0.0637,0.0398,0.0552,0.5311,0.0986,1.9342,0.9471,0.8678,0.4773,1.0128,1.0479,0.5114,0.6583,0.6791,0.6103,0.2515,0.0973,0.3167,1.0234,1.0203,0.5207,0.4357,0.2517,0.5358,2.156,1.0277,2.2345
75,0.0287,0.0171,0.0294,0.1432,0.121,0.0807,0.9893,0.985,0.3369,1.0331,1.0627,0.188,0.8994,1.2288,0.6469,0.2686,0.1062,0.3355,0.7815,0.7648,0.324,0.7278,0.2837,0.9588,1.4366,1.0277,0.9017
80,0.0273,0.0319,0.0081,0.1625,0.1413,0.0756,0.9763,1.0055,0.1856,1.3108,1.0627,1.3024,0.821,1.1345,0.7398,0.2318,0.0869,0.3146,0.8896,0.7934,0.4408,0.4167,0.3295,0.2029,1.6805,1.1678,1.2613
85,0.0386,0.0319,0.0393,0.1495,0.1398,0.0666,0.9411,0.985,0.3976,1.0312,1.0627,0.299,0.9826,1.2615,0.7045,0.1997,0.1062,0.2485,0.8342,0.7939,0.3656,0.3554,0.2666,0.1865,1.2569,0.909,1.5792
90,0.0268,0.0276,0.0088,0.1223,0.121,0.0895,0.9839,0.985,0.2482,1.098,1.0627,0.3146,0.7771,1.2615,0.6164,0.2427,0.1129,0.2491,0.837,0.8064,0.3702,0.3457,0.3213,0.1811,0.9087,0.9975,0.8405
