gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
0,0.9927,0.9821,0.1055,0.9905,0.9867,0.0901,1.0121,1.0159,0.0963,0.9924,1.0046,0.091,1.0027,1.0115,0.0913,0.8891,0.8793,0.0869,0.9739,0.9616,0.1047,0.5048,0.51,0.047,1.0191,1.0279,0.1125
5,0.8242,0.9256,0.2839,0.9686,0.862,0.3186,1.0026,1.0037,0.138,1.066,1.0307,0.3009,0.794,0.9476,0.3571,0.8715,0.911,0.0998,0.9663,0.9583,0.0979,0.5034,0.5325,0.0618,1.0295,1.0571,0.1446
10,0.9353,0.9528,0.1244,0.859,0.8427,0.3171,0.7467,0.999,0.4104,1.032,1.0448,0.0599,0.8461,0.9615,0.3361,0.8987,0.8762,0.0578,0.9606,0.9583,0.2954,0.5465,0.5325,0.1462,1.0546,1.0704,0.1897
15,0.952,0.9495,0.0349,0.8721,1.0036,0.4644,0.5604,0.3081,0.4809,1.0837,1.0598,0.0818,0.7443,0.9615,0.5198,0.9233,0.8762,0.2398,0.8499,0.9698,0.295,0.6525,0.5136,0.3489,1.0077,1.0571,0.5099
20,1.1595,0.9364,0.6289,1.2044,0.9595,0.7374,0.6739,0.946,0.4121,1.0595,1.0395,0.0652,0.7099,0.9615,0.4061,0.9368,0.8515,0.3562,0.6312,0.7604,0.3292,0.7843,0.5288,0.4975,1.1893,1.0704,0.5396
25,1.0223,0.9364,0.4626,1.2277,1.2062,0.7635,0.7002,0.946,0.4009,1.0558,1.0598,0.0586,0.8157,1.0044,0.3801,1.1539,0.7939,1.4282,0.7437,0.699,0.3078,0.5559,0.539,0.175,1.0802,1.0704,0.0994
30,1.2958,0.9461,0.7748,1.2717,1.2162,0.7143,0.6067,0.9177,0.4365,1.0952,1.0307,0.4994,0.6582,1.0044,0.4357,2.2298,0.8317,2.5679,0.7395,0.8943,0.3026,0.564,0.539,0.0913,1.0318,1.0704,0.1554
35,1.0994,0.816,0.6966,2.0295,1.2762,1.0293,0.6004,0.946,0.4672,1.0021,1.0307,0.1018,0.8803,1.0044,0.4702,4.0328,6.7986,2.9956,1.0063,0.9698,0.5207,0.5308,0.5307,0.038,1.0242,1.0328,0.0705
40,1.179,0.6946,0.9697,2.297,1.5111,1.6304,0.6295,0.946,0.444,1.0609,1.0054,0.3877,0.926,0.9411,0.1878,5.0184,6.7986,2.7393,0.7309,0.915,0.3707,0.4934,0.5307,0.1016,1.0914,1.0328,0.3097
45,1.4317,0.6946,0.976,3.0186,3.8285,1.7225,0.5878,0.946,0.445,1.038,1.0307,0.0832,0.7146,0.9282,0.4098,4.3297,6.736,3.0033,0.7447,0.9526,0.3736,0.5158,0.5307,0.0776,1.2309,1.0328,0.6573
50,2.1253,2.525,0.9288,2.651,3.8285,1.5746,0.4132,0.0877,0.4284,1.0294,1.0307,0.1499,0.9352,1.0044,0.5294,3.3004,0.8335,2.9183,0.8383,0.9698,0.3317,0.5497,0.5307,0.2691,1.0873,1.0328,0.4643
55,1.9688,2.525,1.0126,3.5875,3.8285,1.6617,0.81,0.946,0.3636,1.0548,1.0307,0.0774,1.0084,1.0044,0.281,2.0841,0.8268,2.81,0.5724,0.9698,0.4513,0.737,0.5307,0.5006,1.0171,1.0328,0.338
60,2.9767,2.525,1.7806,3.8232,3.8285,1.8137,0.6937,0.946,0.4377,1.0167,1.0307,0.1534,0.9744,0.9282,0.095,2.3697,0.8268,3.344,0.6688,0.9698,0.4169,0.5305,0.5307,0.0853,0.978,1.0328,0.0836
65,2.7569,2.7186,0.7671,3.388,3.8285,2.0677,0.7435,1.0262,0.4823,1.0091,0.9801,0.0555,1.018,1.0044,0.1205,1.5147,0.8268,2.5037,0.7488,0.9698,0.3912,0.5327,0.5307,0.1566,1.057,1.0328,0.2982
70,2.2486,2.2005,0.7127,3.2513,2.7054,2.8568,0.9131,1.0698,0.4512,1.0187,1.0307,0.0722,0.9703,1.0044,0.1605,0.7792,0.8268,0.0819,0.6038,0.8231,0.5665,0.5356,0.5307,0.1554,1.0299,1.0328,0.0576
75,2.433,2.2257,1.0983,5.9219,5.844,3.7284,0.6857,0.9656,0.5088,1.103,1.0967,0.2977,0.9755,1.0044,0.1463,0.8586,0.838,0.1341,0.8481,0.9698,0.4469,0.5003,0.5307,0.0542,0.94,1.0328,0.2248
80,2.2841,2.384,0.791,6.1966,7.9841,2.7797,0.7905,1.0692,0.4401,1.1016,1.0307,0.4393,0.9934,1.0044,0.0666,1.0033,0.8617,0.3895,0.7475,0.9698,0.3739,0.4766,0.4789,0.0603,0.853,1.0184,0.3504
85,2.1401,1.7867,1.0392,7.6539,8.1162,1.914,0.7724,0.9589,0.4122,1.015,1.0156,0.0599,1.0082,1.0044,0.0393,0.9478,0.8617,0.256,0.7053,0.9698,0.4045,0.4977,0.4529,0.1596,0.7511,1.0106,0.4573
90,2.1845,1.7813,1.0541,6.6255,8.1162,2.9913,0.5157,0.0871,0.6111,1.0114,0.9895,0.0657,0.9595,1.0044,0.1402,1.141,0.8617,0.578,0.7186,0.9698,0.4124,0.6167,0.6925,0.0958,0.9301,1.0328,0.281
95,1.3501,1.7813,1.0589,7.5731,8.1162,1.9617,0.3822,0.0903,0.4426,1.0334,0.9895,0.3062,0.9271,1.0044,0.226,1.2741,0.838,0.7518,0.8767,0.9698,0.5412,0.5924,0.6925,0.1414,0.9873,1.0328,0.0841
100,1.2839,0.2878,1.2447,7.1621,8.1162,2.0735,0.6312,1.0692,0.4833,1.1276,1.0156,0.4901,0.9471,1.0044,0.183,1.4569,0.838,0.8067,0.7452,0.9698,0.402,0.6401,0.6925,0.1017,1.0712,1.0328,0.3264
105,2.3102,1.2744,2.6974,6.2174,7.3193,2.6196,0.8481,1.0692,0.564,1.0383,0.9895,0.2852,1.0018,1.0044,0.069,2.1411,2.5139,0.8438,0.5351,0.4806,0.4402,0.6914,0.6925,0.3846,0.9923,0.9665,0.3264
110,0.9162,0.2559,0.928,6.836,7.3193,1.8128,0.6874,1.0692,0.4848,0.9998,0.9895,0.038,0.9358,1.0044,0.1846,3.0901,2.5139,1.8516,0.6391,0.8641,0.4265,0.7138,0.6088,0.3296,0.892,0.9665,0.1719
115,0.8564,0.2559,0.8895,7.087,6.9442,1.6119,0.7894,1.0692,0.4468,1.0053,1.0156,0.0178,0.8156,0.9482,0.3423,2.3586,2.5139,0.9993,0.7709,0.9698,0.3902,0.7253,0.6166,0.3157,0.8925,0.9472,0.1602
120,0.4121,0.2559,0.6069,7.6655,8.6072,1.1904,0.9917,1.0692,0.2469,0.9829,0.9895,0.0629,0.6416,0.8467,0.5189,2.246,2.5139,0.607,0.7519,0.9631,0.3791,1.382,0.6925,1.4352,0.9493,0.9665,0.1459
125,0.2785,0.2559,0.2179,7.3499,6.9442,1.3701,1.115,1.0692,0.1762,1.0242,0.9895,0.1075,0.6569,0.9062,0.401,2.5416,2.5139,1.4063,0.8271,0.8627,0.3421,1.5341,0.6925,1.5335,0.9091,0.9665,0.2018
130,0.3058,0.2559,0.172,7.6269,8.1826,1.1866,1.0066,1.0692,0.2916,1.0006,0.9895,0.3343,0.6419,0.9482,0.4243,2.2498,2.5139,0.6841,0.7199,0.8588,0.403,1.4033,0.8915,1.3032,0.8565,1.0328,0.3599
135,0.3999,0.2559,0.2818,7.7607,8.1826,1.3417,1.0686,1.0692,0.506,0.9953,0.9895,0.079,0.7984,1.0044,0.5247,2.4148,2.5139,0.4729,0.6495,0.85,0.366,1.346,1.4173,1.1636,0.9068,1.0328,0.3217
140,0.4857,0.311,0.2854,7.9312,8.1826,1.6409,1.0163,1.0692,0.3573,1.0673,0.9895,0.438,0.7449,1.0044,0.417,2.9453,2.5139,1.3384,0.5688,0.6973,0.3889,2.0825,1.4597,1.8638,0.9714,1.0328,0.384
145,0.337,0.2386,0.2387,7.8191,8.1826,1.2593,0.9779,0.9391,0.2774,0.9656,0.9895,0.1093,0.589,0.8265,0.4184,3.1605,2.6165,1.6138,0.5888,0.85,0.4089,1.3531,1.4597,1.1201,0.9151,1.0328,0.3081
150,0.2711,0.2015,0.2442,8.391,8.6072,1.0933,1.0153,0.945,0.4157,1.0211,1.0192,0.0837,0.6342,0.8433,0.5495,3.6918,2.918,2.3355,0.631,0.85,0.3916,1.3398,1.4597,0.3064,0.9505,0.9025,0.0672
155,0.2492,0.1827,0.229,7.7428,7.3719,0.8392,0.9435,0.9525,0.075,1.0042,0.9895,0.0801,0.6542,0.9482,0.4386,5.5463,3.1146,3.4631,0.6332,0.85,0.4005,1.3355,1.4597,0.3254,0.8432,0.9025,0.2647
160,0.327,0.1592,0.3605,7.7589,7.2456,1.1918,0.9286,0.9525,0.0564,0.8997,0.9666,0.338,0.8093,0.9734,0.3998,6.1011,3.082,3.608,0.7197,0.8967,0.4039,1.2444,1.4298,0.413,0.7287,0.9025,0.349
165,0.2054,0.1523,0.2734,7.7227,7.4131,0.9334,0.8961,0.8817,0.089,0.9364,0.9895,0.2516,0.5801,0.5263,0.58,5.1957,3.0335,3.3233,0.4142,0.0866,0.4207,1.3388,1.4597,0.511,0.7804,0.9025,0.2804
170,0.1529,0.1394,0.2377,7.554,7.4131,1.324,0.8897,0.8871,0.1628,0.9652,0.9602,0.052,0.7341,1.0044,0.4381,5.0299,3.0104,3.2118,0.8173,0.9434,0.3219,2.5296,1.5476,1.553,0.743,0.9025,0.3415
175,0.1163,0.1553,0.0748,7.0372,6.6895,1.3258,0.9381,0.8871,0.0753,0.9469,0.9602,0.0697,0.5869,1.0044,0.4601,4.4727,2.7421,3.0697,0.7114,0.9434,0.3878,3.4911,4.3791,1.2995,0.7918,0.9025,0.5097
180,0.0986,0.1485,0.0775,7.4837,7.4131,0.8435,0.8691,0.9021,0.2308,0.9317,0.9185,0.1301,0.8059,1.0044,0.3844,3.2387,2.7421,2.3724,0.7143,0.9434,0.3432,3.771,4.2583,0.8262,0.8597,0.8269,0.3256
185,0.0884,0.0159,0.0838,7.1396,7.4131,1.89,0.7164,0.6786,0.4228,0.8741,0.9185,0.2336,0.6304,1.0004,0.4501,2.4397,2.7421,0.8207,0.7871,0.9434,0.344,4.0881,4.2916,0.5409,0.7638,0.7495,0.1402
190,0.1114,0.0176,0.1416,6.5217,6.6895,1.5836,0.8226,0.8817,0.2021,0.9269,0.9185,0.098,0.8424,1.0044,0.4908,1.5285,2.7421,1.3625,0.874,0.9434,0.3781,4.2775,4.3791,0.9626,0.7203,0.7361,0.236
195,0.0638,0.0132,0.094,6.7994,6.6895,0.7239,0.8791,0.973,0.2682,0.8998,0.9185,0.1278,0.78,1.0044,0.4061,0.6537,0.0274,1.0889,0.943,0.9434,0.0487,4.4067,4.3791,0.8753,0.6718,0.6189,0.5147
200,0.0842,0.0478,0.0792,6.5443,6.6895,1.0115,0.9141,0.973,0.2143,0.9168,0.9185,0.0518,0.6894,1.0044,0.4551,1.193,0.2881,1.285,0.9377,0.9434,0.1379,4.1558,4.3791,0.5319,0.8832,0.6707,0.5141
205,0.0659,0.0344,0.071,6.889,6.6895,0.928,0.9377,0.973,0.3539,0.94,0.9185,0.2692,0.5856,0.948,0.4754,1.6814,2.7421,1.2636,0.9292,0.9434,0.1586,4.1652,4.3791,1.2841,1.1084,0.7226,0.7794
210,0.1047,0.0478,0.1195,6.2345,6.6895,1.7744,0.8693,0.973,0.2881,0.8896,0.9185,0.1694,0.7518,1.0044,0.4378,1.5481,0.2851,1.5717,0.93,0.9434,0.1465,4.3005,4.3791,0.4682,0.9942,0.7226,0.5719
215,0.0985,0.0505,0.0722,6.3618,6.6895,0.7269,0.969,0.9836,0.1261,0.9278,0.9185,0.062,0.6143,1.0044,0.4762,1.2234,0.2851,1.542,0.9641,0.9805,0.2117,4.4599,4.3791,0.486,1.1595,0.7226,1.4593
220,0.0613,0.0505,0.038,6.4373,6.6895,0.8133,0.9818,0.9836,0.1013,0.9488,0.9185,0.0843,0.8024,1.0044,0.4188,1.2721,0.8552,1.1332,0.8543,0.9434,0.2649,4.3054,4.3791,0.5334,1.1888,1.0333,1.0971
225,0.0774,0.0505,0.0617,6.7329,6.9145,0.4959,1.0128,0.9836,0.2809,0.9032,0.9185,0.1333,0.6541,1.0044,0.4676,2.5577,2.7421,0.6167,0.9704,0.9805,0.1424,4.0552,3.8079,1.911,0.9783,1.0333,0.157
230,0.0486,0.0505,0.0065,6.5024,6.9291,1.5086,1.0149,0.9836,0.2578,0.9425,0.9185,0.29,0.6208,1.0044,0.4698,2.5387,2.7421,0.6748,0.9318,0.9805,0.2153,4.434,4.3791,1.4617,0.9537,1.0333,0.2013
235,0.0487,0.0505,0.0067,6.4801,7.0222,1.5111,0.9516,0.9836,0.141,0.9169,0.9185,0.1324,0.7628,1.0044,0.5363,2.6908,2.7421,0.9986,1.0063,0.9805,0.0834,3.9474,4.3791,1.1558,0.9406,0.9738,0.3408
240,0.051,0.0505,0.0131,6.8845,7.0222,1.0719,1.0429,0.9836,0.3986,0.962,0.9592,0.0616,0.5314,1.0044,0.4926,2.9627,2.7421,1.2126,1.0362,0.9805,0.2825,4.2982,4.3791,0.6928,0.8592,0.9143,0.2356
245,0.0494,0.048,0.0034,6.6338,7.0222,1.4685,0.9733,0.9836,0.0832,0.918,0.9185,0.127,0.6689,1.0044,0.4597,2.9652,2.7421,1.7088,1.0238,0.9805,0.3018,5.1639,4.3791,2.4869,0.8658,0.9143,0.2495
250,0.0516,0.0524,0.0039,6.811,7.0222,0.9993,1.0007,0.9836,0.0424,0.9671,0.9389,0.3082,0.4987,0.1004,0.4758,3.9464,2.7421,2.3905,1.0142,0.9805,0.088,5.1913,3.6705,2.7572,0.7845,0.875,0.3112
255,0.052,0.0462,0.0295,6.7088,7.0222,0.7252,0.8664,0.9836,0.313,1.0225,0.9592,0.2731,0.7765,1.0044,0.6638,4.914,3.5456,2.7073,1.0387,0.9805,0.3028,6.0894,4.1968,3.1274,0.6681,0.875,0.3941
260,0.0612,0.0462,0.0443,6.6109,7.0222,1.3744,0.9672,0.9836,0.2674,1.0258,1.0155,0.1042,0.7872,1.0044,0.4299,5.3628,3.6882,2.337,0.983,1.0415,0.0957,4.8426,3.6674,2.9893,0.4629,0.4231,0.4091
265,0.05,0.0462,0.043,7.8431,7.0222,1.3836,0.6446,0.9836,0.4655,0.9474,0.9424,0.1083,0.8124,1.0044,0.3999,6.1842,7.6387,2.0249,1.0225,1.0466,0.0675,3.7801,3.6674,2.8002,0.0751,0.0567,0.1161
270,0.0503,0.03,0.0554,7.4385,7.0222,1.7816,0.7779,1.0303,0.4241,0.9192,0.9185,0.0668,0.8977,1.0044,0.3367,6.1886,7.3111,2.4207,1.0005,0.9946,0.09,5.6937,4.3791,2.9988,0.0756,0.0567,0.0444
