gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
0,1.0005,1.0081,0.0867,1.0028,1.0009,0.0961,1.0015,0.9863,0.0979,1.0094,1.0175,0.0873,1.0065,0.9991,0.0962,0.9075,0.9071,0.0881,0.9814,0.9924,0.0963,0.4912,0.5038,0.0542,1.0045,0.9948,0.1083
5,0.8466,0.9071,0.2205,1.1616,1.0365,0.5444,0.7448,0.9554,0.3877,1.0397,1.0214,0.3466,0.8777,0.9599,0.4149,1.1437,0.8648,0.6602,0.9255,0.9819,0.4758,0.619,0.4878,0.3602,1.0675,1.0058,0.4052
10,0.8068,0.8997,0.3103,1.1328,1.0521,0.6186,0.6456,0.9039,0.4343,1.0066,0.9959,0.2976,0.7872,0.9387,0.3574,1.4993,0.8599,1.5468,1.1101,1.0549,0.5752,1.179,1.3758,0.8098,1.1599,1.1515,0.6245
15,0.6314,0.8835,0.5325,1.2589,1.0711,0.8887,0.6452,0.925,0.4269,1.0522,0.999,0.3541,0.5753,0.8211,0.4374,1.6935,1.1911,0.9828,0.914,0.9442,0.5339,1.1914,1.3758,0.6683,0.9606,1.0983,0.6653
20,0.3976,0.1223,0.3816,1.3214,1.0872,0.947,0.905,1.0028,0.7459,0.9469,0.9063,0.1549,0.7399,0.9776,0.4553,1.1382,1.0359,0.5757,0.8209,0.9819,0.3564,1.1723,1.3758,0.9554,1.1587,1.0543,0.7616
25,0.3745,0.1223,0.3547,1.4174,1.2029,0.6746,1.006,1.026,0.2288,1.0769,1.035,0.3191,0.8448,0.9776,0.6399,1.041,0.9507,0.5838,1.0804,0.9819,0.648,1.1658,1.3758,0.6206,2.276,1.7433,2.4159
30,0.3464,0.1346,0.3824,1.5426,1.2764,0.9511,0.9486,0.9698,0.1403,1.0133,0.9329,0.3183,0.7067,0.9538,0.5658,1.0178,0.9329,0.6476,1.128,1.0443,0.769,1.2047,1.4929,0.7451,1.9092,0.1241,2.6642
35,0.2332,0.1253,0.2348,1.4446,1.1848,0.8314,0.9734,1.0463,0.1518,0.9275,0.9329,0.3354,0.8503,0.9776,0.3902,1.2075,0.9507,0.8366,0.7154,0.8473,0.4158,1.5495,1.6075,0.5176,0.371,0.138,0.6789
40,0.2504,0.1098,0.2529,1.2528,1.1342,0.5077,1.0552,1.0021,0.6059,0.9707,0.9329,0.1914,0.9682,0.9776,0.5932,1.1923,1.1331,0.7017,0.6625,0.8382,0.5589,1.9172,1.7349,1.0861,0.6366,0.1106,1.1621
45,0.1336,0.0987,0.1773,1.3661,1.3399,0.6571,0.9797,1.0202,0.4366,1.0079,0.9329,0.4259,0.9642,0.9857,0.4452,1.5622,1.4318,0.9637,0.5867,0.8916,0.4912,3.6622,4.3439,1.83,0.4023,0.0626,0.9571
