gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
0,1.5027247570423676,1.3977796236356534,1.3077564201847816,0.039310548931552856,1.031,1.015,1.014,0.799,0.506,0.487
1,1.5735568171862448,1.4293446000591523,1.3041741110995722,0.058139030883838844,1.08,0.976,1.039,0.885,0.509,0.482
2,1.6894336654639794,1.4430338776222853,1.2346771004951294,0.0883606122300415,0.987,0.953,1.089,0.891,0.502,0.495
3,1.8116587807583366,1.4744143224479263,1.308666648928359,0.09370783943537371,0.933,0.901,1.112,0.977,0.495,0.488
4,1.9221897583997034,1.5320054833151968,1.2966364787700406,0.11909132397544488,1.039,0.979,1.211,1.146,0.53,0.477
5,1.9221897583997034,1.5952319295965984,1.3580140611244211,0.13299997833668703,1.04,0.912,1.374,1.343,0.519,0.5
6,1.9222852779671975,1.6823826783912605,1.016855319576901,0.16642911020703208,1.025,0.737,1.568,1.384,0.52,0.509
7,2.1590196429670585,1.7419982832522845,0.9078278046610243,0.2414672701041805,1.191,0.607,1.965,1.387,0.478,0.569
8,2.1590196429670585,1.8599608015043307,1.129506220235276,0.20581161585620653,0.98,0.583,2.027,1.538,0.495,0.522
9,2.1668273514266065,1.9636197057518654,1.3983602245329507,0.16988713479026013,0.991,0.482,2.264,1.716,0.51,0.533
10,2.21732241980242,1.9468323212369651,0.9989593394141061,0.26694279245371383,0.898,0.473,2.196,1.816,0.504,0.511
11,2.2403157679559675,1.9892087236591212,0.8600504754929199,0.29144323316949594,0.911,0.466,2.421,1.954,0.542,0.509
12,2.3096146968208946,2.077345594513667,1.2314240038149133,0.22200221400293021,0.678,0.447,2.429,2.308,0.495,0.505
13,2.393999048721296,2.101827163502766,0.9948614156708377,0.27386428666634505,0.672,0.399,2.569,2.238,0.55,0.463
14,2.393999048721296,2.123493853678514,1.0968020154121603,0.2734716786259164,0.587,0.333,2.534,2.409,0.583,0.389
15,2.393999048721296,2.145769890048905,1.372944211624425,0.23615065797063772,0.472,0.426,2.832,2.533,0.85,0.486
16,2.432429778336672,2.1574623756645135,1.1378008562929296,0.29391011762257285,0.618,0.617,2.942,2.478,0.942,0.469
17,2.4387500425121464,2.148489513453185,0.9167060243722345,0.3286472388351807,0.674,0.478,3.089,2.494,0.959,0.478
18,2.4387500425121464,2.1911062755356987,1.3670499017417888,0.268535995658297,0.572,0.341,2.858,2.36,0.95,0.521
19,2.5014694521090846,2.2707166837917248,1.4674720523689215,0.190301403476335,0.635,0.264,2.613,2.752,1.013,0.514
20,2.532715702416622,2.272675498846324,1.126145309072979,0.278773261423406,0.71,0.261,2.731,2.664,0.978,0.465
21,2.557816634525306,2.2981940237765355,1.4651469715945304,0.23816522696806358,0.606,0.275,2.569,2.721,1.142,0.543
22,2.5675523120702244,2.3148735670336573,1.2386928208247587,0.2445511709817962,0.368,0.209,2.544,2.879,1.031,0.498
23,2.622740827403101,2.3413281397246575,1.3318562537408798,0.23342697355283423,0.398,0.254,2.93,2.905,0.999,0.638
24,2.622740827403101,2.3448119515165913,1.482863341191893,0.2458448896451443,0.395,0.247,2.835,3.129,0.9,0.632
25,2.7227502070311416,2.3549509699521134,0.9012760539325408,0.32536407598301953,0.476,0.238,2.783,3.34,1.056,0.672
26,2.7765419247351635,2.471377343889801,1.5093687392254735,0.23512141317761948,0.427,0.225,2.604,3.418,1.213,0.734
27,2.784053832408761,2.53601158323051,1.4994752890981318,0.23658061977818365,0.487,0.23,2.212,3.696,1.149,0.759
28,2.8336118522440428,2.532448412843319,1.4201314451770108,0.3167354455045138,0.41,0.219,2.301,3.834,1.361,0.669
29,2.873040120712603,2.5639110749795138,1.1654341299622788,0.3736173998917194,0.501,0.224,2.267,3.736,1.347,0.67
30,2.873040120712603,2.5666696628193786,1.0945622864588658,0.35728960428728274,0.406,0.205,2.582,4.205,1.317,0.617
31,2.873040120712603,2.7117313197723067,1.8232462690065225,0.19113092807603482,0.379,0.171,2.283,3.91,1.311,0.519
32,2.873040120712603,2.711578580072224,1.9534548200300672,0.19313388783554303,0.404,0.167,2.153,4.021,1.341,0.511
33,2.8921991868283206,2.715130524207582,2.0929517178887878,0.1893042363899716,0.395,0.187,2.128,4.125,1.321,0.496
34,2.8921991868283206,2.7162836202160516,1.8047006193973125,0.2167777312495824,0.442,0.129,2.184,4.053,1.282,0.439
35,2.8921991868283206,2.691841227312197,1.3347280423257026,0.28010146611364334,0.36,0.141,2.228,4.143,1.322,0.404
36,2.8921991868283206,2.7388894178958787,1.8788820729967783,0.21451449867379527,0.265,0.141,2.178,3.955,1.29,0.424
37,2.892330763324562,2.7141712333495267,1.277406317711742,0.31381666675372943,0.324,0.142,2.144,4.207,1.31,0.469
38,2.892330763324562,2.7202295083027566,1.5082179839960417,0.2544905368082783,0.285,0.139,2.188,3.809,1.358,0.488
39,2.8952242521171283,2.698761258747682,1.742075848689149,0.2931699146091892,0.192,0.149,2.07,4.012,1.381,0.51
40,2.898113159710024,2.6606159287903473,1.1942191705673828,0.3309219542664536,0.17,0.124,2.122,4.034,1.32,0.543
41,2.898113159710024,2.6873934325210156,1.7702502789960404,0.309242240642234,0.202,0.109,2.197,4.197,1.357,0.572
42,2.898113159710024,2.7284656569254424,1.9358003629736444,0.2291082829489987,0.198,0.097,2.099,4.039,1.326,0.582
43,2.9031012710256374,2.74313889546251,1.7003506686385839,0.2488025345130064,0.101,0.108,2.115,3.921,1.337,0.594
44,2.9031012710256374,2.5909384982538843,1.0231891171823162,0.4537486666369857,0.111,0.103,2.111,4.349,1.219,0.592
45,2.908132360646451,2.5515764181820297,1.244958220172395,0.4574034904754884,0.096,0.09,2.099,4.289,1.328,0.683
46,2.908132360646451,2.6642862792710837,1.063243920214921,0.3856595862180295,0.098,0.094,2.215,3.949,1.301,0.645
47,2.908132360646451,2.6975075215611066,1.80041337885146,0.28027249249190783,0.097,0.089,2.176,3.88,1.313,0.558
48,2.9137514303403984,2.69143716788522,1.27363292233884,0.3302938825495111,0.097,0.086,2.111,4.062,1.408,0.57
49,2.9137514303403984,2.6359300991764236,0.4395581739096053,0.5219181910121508,0.101,0.089,2.135,4.219,1.366,0.489
50,2.9137514303403984,2.725915125020779,0.03658256525573922,0.4879369704399692,0.101,0.096,2.187,4.048,1.366,0.494
51,2.9137514303403984,2.783205626560357,1.9602304947693132,0.2288293611690536,0.107,0.091,2.164,4.22,1.41,0.497
52,2.9138103840312417,2.728127729160682,1.6387161656367393,0.34404134614332627,0.098,0.094,2.125,3.977,1.432,0.52
53,2.9199062000559337,2.6687023641748833,1.6600010851517646,0.3835867216235306,0.106,0.089,2.131,3.949,1.347,0.503
54,2.9199062000559337,2.748483920858935,1.9580493205561904,0.24111449997309425,0.109,0.094,2.179,3.864,1.298,0.505
55,2.926970772953781,2.73378903269972,1.8655272708108157,0.2672528553257367,0.102,0.099,2.243,3.979,1.409,0.521
56,2.927330509081122,2.751933366230799,1.494971200940498,0.3238711384928788,0.093,0.1,2.413,4.02,1.348,0.583
57,2.927330509081122,2.731618136505043,1.9665499930984027,0.2689113932415977,0.099,0.114,2.239,3.966,1.366,0.721
58,2.927330509081122,2.7215216476909037,1.074261549877436,0.4079191705655254,0.099,0.108,2.168,3.889,1.41,0.673
59,2.9329455259139734,2.725724923884124,1.6349284597438682,0.3063854687176738,0.099,0.105,2.176,4.061,1.407,0.738
60,2.938594331615319,2.6834053047166777,0.9909082968800713,0.4048822584495756,0.095,0.114,2.202,4.17,1.444,0.775
61,2.938594331615319,2.6665025340442408,1.3136323764776223,0.399135156500428,0.088,0.12,2.37,3.917,1.444,0.904
62,2.938594331615319,2.6962806964868498,1.3862255221096846,0.35610776129962257,0.095,0.132,2.236,4.021,1.448,0.949
63,2.938594331615319,2.73932405009628,1.7366248322651363,0.2697189256586715,0.099,0.136,2.138,4.095,1.421,0.928
64,2.938594331615319,2.7286916604145044,1.5437904514247331,0.304727847190576,0.1,0.129,2.187,4.024,1.411,0.893
65,2.938594331615319,2.719428609925132,1.6478271998631828,0.2755083636079067,0.105,0.113,2.117,4.361,1.47,0.906
66,2.938594331615319,2.6846561750971687,1.0279245570980031,0.4160210715719001,0.093,0.12,2.452,4.172,1.516,1.051
67,2.9392650713662962,2.7356662150456557,0.0,0.46111002685020264,0.108,0.118,2.399,3.902,1.55,0.963
68,2.9392650713662962,2.7210940749553494,1.9270553411145133,0.29829167640394055,0.111,0.114,2.263,3.976,1.4,0.845
69,2.9392650713662962,2.683186940500448,1.2940115740452474,0.41165802985502903,0.127,0.112,2.164,4.146,1.476,0.771
70,2.9392987674942743,2.8014021823803494,2.0000544949814647,0.23182701186264737,0.114,0.109,2.204,4.153,1.379,0.829
71,2.9392987674942743,2.7404699560200516,0.8903753169746171,0.39618514938186017,0.114,0.106,2.225,3.979,1.498,0.807
72,2.9392987674942743,2.7320417122742824,0.723097933366911,0.40637619375565043,0.107,0.104,2.229,3.949,1.447,0.701
73,2.9392987674942743,2.7767155316605265,1.9928212096988605,0.2488592546713124,0.111,0.102,2.187,3.868,1.417,0.585
74,2.9392987674942743,2.688474730366701,1.350731293778579,0.34169109677564347,0.11,0.102,2.19,4.034,1.432,0.61
75,2.9406838908298822,2.68520619113133,1.45472931055125,0.3614083061966159,0.108,0.108,2.207,4.085,1.571,0.533
76,2.9406838908298822,2.6700236639115924,0.6584354709173958,0.47553225031423285,0.106,0.097,2.134,3.987,1.496,0.49
77,2.9406838908298822,2.7651782314607747,1.8394894117545726,0.2772975903139663,0.108,0.094,2.21,4.108,1.486,0.504
78,2.9406838908298822,2.766654445277766,1.9948648987767796,0.2190210099745773,0.111,0.1,2.049,4.104,1.449,0.542
79,2.9406838908298822,2.737084472243185,1.3740757585710694,0.32739442942811775,0.124,0.084,2.087,4.449,1.42,0.45
80,2.9416229854225966,2.7062874159095833,1.7486297100788093,0.3149106106135299,0.116,0.091,2.06,4.119,1.518,0.411
81,2.9416229854225966,2.6455769244614213,1.424615289419864,0.37673376178186535,0.118,0.098,1.973,3.886,1.411,0.424
82,2.9416229854225966,2.75483190100348,2.153235185766893,0.21155388975478898,0.107,0.1,2.07,4.072,1.451,0.448
83,2.9416229854225966,2.7753375602277197,1.7980210616169912,0.2331669684211938,0.11,0.097,2.09,4.279,1.442,0.466
84,2.9416229854225966,2.7562585752484225,1.936164915018376,0.26818324770469887,0.105,0.093,2.075,4.103,1.478,0.513
85,2.9416229854225966,2.702142619763659,1.0806469055876669,0.3611846536752547,0.111,0.098,2.162,4.251,1.416,0.5
86,2.9425212805300167,2.756177016330564,1.546738971195238,0.2967863832121567,0.1,0.111,2.176,4.021,1.375,0.49
87,2.9425212805300167,2.7102580362376427,0.8253728730462888,0.4288239025016198,0.097,0.108,2.157,4.145,1.363,0.553
88,2.9425212805300167,2.6463468153599705,0.6034313819741959,0.5174764544225816,0.1,0.109,2.201,4.134,1.452,0.565
89,2.9425212805300167,2.6635793257331684,1.3347393760651347,0.3653195835011319,0.097,0.111,2.335,4.018,1.573,0.457
90,2.9425538001988585,2.715037014307398,1.765694942869969,0.3185659945751902,0.098,0.112,2.27,4.15,1.444,0.428
91,2.9425538001988585,2.779877455394045,2.011749571654401,0.23553197500709339,0.099,0.114,2.275,4.267,1.475,0.433
92,2.9425538001988585,2.806626246887808,1.9004134955191312,0.21249889861722573,0.107,0.096,2.33,4.047,1.427,0.463
93,2.9425538001988585,2.7137439755161537,1.2018044139091748,0.4013540098318475,0.116,0.1,2.414,4.198,1.458,0.448
94,2.9429900513416984,2.771749333937011,1.216052253739212,0.3258305892627623,0.103,0.093,2.432,4.084,1.414,0.444
95,2.9460623695675565,2.689348614278555,1.2145870049646696,0.40812790541628535,0.104,0.107,2.69,4.038,1.559,0.467
96,2.9460623695675565,2.6525303165986025,1.6512250659615737,0.3727372301168295,0.103,0.099,2.502,4.107,1.529,0.469
97,2.9460623695675565,2.7813605960873606,1.5505792004354433,0.2986459891231354,0.107,0.099,2.718,4.218,1.524,0.512
98,2.946198288931189,2.7719743548802267,1.4881350666885418,0.33103744730026663,0.132,0.103,2.615,4.124,1.463,0.539
99,2.946198288931189,2.811937534930559,1.9484260466787113,0.2234066610194356,0.133,0.103,2.644,4.21,1.455,0.599
