gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
0,1.5116754564161021,1.3971703147660985,1.3168184492044326,0.035445178720938025,1.001,1.022,1.007,0.802,0.492,0.499
1,1.9095792160294176,1.4378850708883355,1.260545947594839,0.09342733909068095,0.994,1.04,1.077,0.9,0.479,0.484
2,1.9095792160294176,1.4900082615205539,1.3245032842677693,0.13647948112354005,1.024,1.139,1.038,0.96,0.498,0.483
3,1.9095792160294176,1.5710623904293184,1.2105050235278003,0.1929705292568923,1.046,1.12,0.97,1.024,0.495,0.472
4,1.941621909950043,1.6722874535160264,1.2789030107218664,0.19821306639162903,1.128,1.173,0.996,1.036,0.527,0.472
5,1.962317772127137,1.7161208680457298,0.499463988694098,0.23593614584837572,1.177,1.127,0.96,0.922,0.595,0.461
6,2.1050867609041046,1.8071372295365042,0.84513458513534,0.19766932274895962,1.214,1.167,0.976,0.826,0.598,0.458
7,2.16146252414641,1.9007616520805142,0.8111811835143299,0.19325541699127388,1.278,1.117,0.996,1.14,0.638,0.429
8,2.16146252414641,1.9340867251662013,0.8142478250630365,0.25573690773614205,1.301,1.166,1.073,1.437,0.555,0.434
9,2.1774765363365356,1.9917964931311694,1.2060070841012749,0.2059347469593738,1.133,0.954,0.972,2.056,0.564,0.497
10,2.2539584479465478,2.0666598382604233,1.4108543453111695,0.17025197767039735,1.079,0.85,1.035,2.606,0.663,0.454
11,2.2583737066780545,2.0811128100152967,0.23478770709636,0.2944797208650048,1.127,0.805,1.099,2.569,0.755,0.439
12,2.3842853871237484,2.1230831666533074,0.0,0.3186217017789456,1.181,0.798,1.085,2.64,0.838,0.444
13,2.4047374136243604,2.1841654871523093,1.262670266451611,0.16798682364434545,1.319,0.843,1.24,2.608,0.997,0.43
14,2.41857246297286,2.235199312102153,1.747344387620134,0.12064204387263915,1.361,0.989,1.036,2.832,1.152,0.406
15,2.4627865679380627,2.1971285129557137,0.5467511694216765,0.346237522267009,1.313,0.854,1.093,3.092,1.694,0.407
16,2.5486843034398206,2.2425643163769564,0.4807285212252581,0.3339617143216865,1.307,0.942,0.886,3.243,1.577,0.412
17,2.5542277178382014,2.31104884406696,1.4949281946143316,0.24398792190646548,1.354,0.978,0.95,4.025,1.69,0.409
18,2.5542277178382014,2.341360782613502,0.7811657890462651,0.31309872301162844,1.327,1.156,0.965,4.52,1.767,0.42
19,2.6206243431072833,2.3245109321324176,1.0741426683862603,0.36903871204177474,1.369,1.427,1.099,5.085,1.829,0.441
20,2.6402639138624924,2.385175134554138,1.4259255218856772,0.26510617990533164,1.148,1.631,1.145,5.72,1.781,0.451
21,2.6465392068226263,2.416733591777729,0.7873641198310481,0.3132910694977799,1.25,1.654,1.043,6.38,1.749,0.433
22,2.6465392068226263,2.3306072863043976,1.2894438083483994,0.3493209113411964,1.12,1.889,0.969,5.318,1.88,0.475
23,2.6804824857619653,2.3569760332546807,0.7404605579730563,0.4209200031663461,1.006,1.944,0.951,4.633,1.986,0.492
24,2.737016546736328,2.4478463563225374,0.9225941882102291,0.3871979072408642,0.875,1.995,0.93,4.245,1.965,0.491
25,2.737016546736328,2.2811338812512023,0.3680094828286642,0.5625782194202975,1.013,2.05,0.91,4.166,1.887,0.472
26,2.737016546736328,2.433420371374147,1.3909178941257507,0.35189716643802915,0.87,2.091,0.862,4.261,1.906,0.47
27,2.7746829718105666,2.4201680558495813,0.7841814935827618,0.4449000777298661,1.191,2.166,0.875,4.602,1.742,0.408
28,2.7746829718105666,2.3936794759729327,1.0987550824358083,0.4192483153414965,1.118,2.301,0.875,5.139,1.754,0.422
29,2.7945137331245347,2.4249533565075407,0.0,0.5977209670762175,1.126,2.342,0.907,4.907,1.938,0.461
30,2.7945137331245347,2.495505300461021,0.47886595816758626,0.42961817680025455,1.289,2.001,0.932,5.463,1.901,0.498
31,2.8033961790288395,2.4485954143407302,0.8008706779909773,0.4902614696835464,1.273,1.783,1.076,5.539,1.895,0.503
32,2.8041307071587522,2.4947629623325374,1.0080177922558495,0.4317297161047099,1.388,1.78,1.019,5.414,1.843,0.486
33,3.4437568508250846,2.5511381393980357,1.0183538090158892,0.47748969841924727,1.519,1.806,1.194,6.016,1.865,0.494
34,3.4437568508250846,2.5791660848311047,1.1608801500569892,0.4121132394972843,1.51,1.678,1.231,6.111,2.005,0.543
35,3.4437568508250846,2.4919578127236472,0.5955537112896467,0.5395658440354096,1.381,1.696,1.366,5.779,2.076,0.497
36,3.4437568508250846,2.5464483194123475,0.8767112430088533,0.4771053419473033,1.394,1.853,1.559,5.521,1.932,0.498
37,3.4437568508250846,2.6478030956896212,1.431584500584508,0.42283807389911404,1.556,1.674,1.866,4.991,2.058,0.516
38,4.035588266327278,2.652921288538431,0.0,0.6366503222010526,1.649,2.346,1.581,5.084,1.955,0.493
39,4.035588266327278,2.58567249796827,0.48884127829274426,0.7065724788550001,1.781,2.555,1.626,5.724,2.05,0.461
40,4.035588266327278,2.6207600127794537,0.0,0.6746916402691582,2.066,2.804,1.436,6.277,1.84,0.413
41,4.035588266327278,2.6868127538392135,0.07986529976511592,0.6943314457157124,2.208,2.962,1.419,6.256,1.797,0.418
42,4.035588266327278,2.592174425113582,0.11147689270510686,0.8003937793355302,2.209,3.0,1.878,6.769,1.917,0.424
43,4.035588266327278,2.7560520103595274,1.392787738532356,0.6381484320609594,2.301,3.343,1.832,6.475,1.872,0.413
44,4.052387817032234,2.729657005390668,1.1742023762222902,0.7300793397485831,2.372,3.034,1.822,6.674,1.889,0.356
45,4.052387817032234,2.8472736924688866,0.0,0.8959456869254963,2.616,3.037,1.663,6.465,1.977,0.35
46,4.052387817032234,2.9580667618024097,0.19645322726370518,0.8948050388805365,2.75,3.034,1.175,6.151,1.955,0.328
47,4.052387817032234,3.101758151395678,1.5339173744541013,0.6843349027771041,2.621,2.997,1.167,6.243,1.897,0.321
48,4.052387817032234,3.061899685445078,1.0819135419870918,0.7775899324294119,2.585,3.072,1.11,6.088,2.129,0.309
49,4.059077959723299,2.9287222999190097,0.0,0.8767771125967231,2.511,3.078,1.198,6.21,2.097,0.324
50,4.061400473178213,2.796235190802758,0.5559600132293245,0.788341427378546,2.623,3.177,1.074,6.648,2.087,0.303
51,4.061400473178213,2.9359979003512833,1.5714634123484919,0.614330319787368,2.654,3.088,1.024,6.439,1.993,0.318
52,4.067219777800623,3.0016706472865233,1.3210267422459605,0.7727521231103084,2.873,3.107,1.045,6.406,1.99,0.347
53,4.077137082875381,2.8478792911210182,0.42028662002290496,0.9595491656537801,2.861,3.268,1.056,6.325,1.829,0.291
54,4.077137082875381,2.924006947177785,0.6430720922360134,0.7778674337629751,2.615,3.043,1.06,6.262,1.843,0.304
55,4.091876325246327,2.9482233032419685,1.1753608295640432,0.8567425227228628,2.554,3.122,1.107,6.14,1.877,0.299
56,4.100410577897117,3.1118816504068523,1.4045187884006447,0.8193835322898549,2.74,3.008,1.078,6.074,1.893,0.29
57,4.100410577897117,3.1592263539636254,0.030015321051832355,0.8333889819684297,2.609,3.022,1.201,6.209,1.969,0.304
58,4.113230073652269,2.9502889542147814,0.2695606038584315,0.9941083071712662,2.666,3.226,1.088,6.138,2.084,0.29
59,4.113230073652269,3.283405958067382,1.5536530828019122,0.7629997299824033,2.932,2.959,1.14,6.358,1.89,0.314
60,4.113230073652269,3.3583024910586463,1.7079815556467421,0.6707996036670999,2.702,3.019,1.061,6.331,1.929,0.338
61,4.113230073652269,3.3863385326918563,1.4262446535904285,0.7837746308693067,2.609,3.167,1.088,6.322,1.92,0.318
62,4.12357465201824,3.205928873602687,1.4303351832540594,0.758775657957623,2.708,3.055,1.007,6.199,1.914,0.317
63,4.137732240838431,3.1917536615498814,0.9866120516684609,0.7469919742286979,2.722,3.017,1.132,5.846,1.943,0.33
64,4.137732240838431,3.2027650723608274,1.2626348567269414,0.7602053748946501,2.63,2.941,1.165,5.763,1.964,0.326
65,4.151100451885679,3.2292345121428023,0.02851970524317382,0.8787067195885975,2.726,3.113,1.232,5.882,1.986,0.317
66,4.161515388345994,3.139393706778522,1.1947180813225355,0.7573058252789614,2.617,3.167,1.402,6.19,1.919,0.322
67,4.161515388345994,2.947533851943851,0.8409458512859449,0.88580540592495,2.612,3.153,1.503,5.988,1.868,0.305
68,4.161515388345994,3.0737534953407017,0.30339371839366036,0.9192961443596601,2.5,3.003,1.262,5.764,1.82,0.293
69,4.161823858991681,3.1975261252083413,0.009687397137010167,0.9418275854440947,2.611,3.089,1.336,5.724,1.847,0.315
70,4.190727316589132,3.342560458913376,1.6162629541232811,0.7660249313635565,2.645,2.876,1.044,5.743,1.986,0.397
71,4.190727316589132,3.021930877464669,1.186762462179653,0.870220647941635,2.538,3.185,0.968,5.882,2.135,0.416
72,4.190727316589132,3.018501533514118,1.011102398340223,0.8391382694343307,2.645,2.963,1.034,5.745,1.977,0.39
73,4.190727316589132,3.13585604874579,0.5059559513971501,0.972027181805357,2.536,3.119,1.169,5.587,1.929,0.459
74,4.190727316589132,3.0514063685700843,0.8715624264910513,0.885838320683657,2.543,3.035,0.999,5.294,1.894,0.457
