gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
0,1.495341968485749,1.3876206043149213,1.306847711506304,0.03704369831213834,1.009,0.981,0.998,0.802,0.497,0.489
1,1.7038944355834176,1.4134982253132724,1.2989164534834585,0.06918229404748831,0.973,1.144,0.944,0.808,0.502,0.503
2,1.843163554644231,1.4524440944365764,1.2959235869941776,0.09812846168498997,0.986,1.16,0.895,0.845,0.494,0.483
3,1.843163554644231,1.486047960022736,0.7454475084455249,0.166414090926433,0.992,1.149,0.812,0.959,0.506,0.502
4,1.843163554644231,1.5495270682591846,1.272698410815697,0.13788326060771836,0.99,1.273,0.816,1.048,0.494,0.504
5,1.9549275972960638,1.6174261141996351,1.312182922566342,0.150472147282998,0.974,1.453,0.972,1.099,0.469,0.547
6,1.967022012124512,1.7374795553370723,1.4274918036489075,0.12533374030232958,0.986,2.061,1.002,1.451,0.453,0.589
7,2.115168749158804,1.7934847023114096,1.1307709928308372,0.16536849142710916,1.025,2.032,1.045,2.036,0.484,0.571
8,2.1261340882832953,1.8515660055585101,1.3368843504771315,0.1493575924134103,0.931,1.733,1.039,2.129,0.504,0.698
9,2.129864620635583,1.9183946505856238,1.187774056578763,0.15612198223038143,0.888,1.39,1.001,2.496,0.517,0.68
10,2.1505564337840775,1.9808671292916487,1.1364948249128024,0.15374837893666235,0.914,1.307,1.014,2.501,0.524,0.549
11,2.1834929188617522,2.0208736462278587,0.971176488805083,0.1830921568552278,0.913,1.147,0.998,2.694,0.507,0.515
12,2.208161820620383,2.0411598173558674,1.255247412775267,0.21349522543816568,0.86,1.177,0.892,2.829,0.439,0.438
13,2.244282637234068,2.1067795693002425,1.279056483239546,0.15916431236348866,0.764,1.229,0.918,2.868,0.436,0.473
14,2.271226563570117,2.1236771614717918,1.488172245789335,0.13769784826044476,0.837,1.19,0.888,3.022,0.43,0.435
15,2.316288789534157,2.0959550421119197,1.485152896552513,0.20764359123291032,0.778,1.29,0.978,3.01,0.463,0.491
16,2.3333223157527456,2.171546613831592,1.4008956278317943,0.19350305215675365,0.756,1.228,1.165,2.831,0.377,0.508
17,2.3333223157527456,2.195038443203782,1.6228526476536056,0.16283901724104866,0.871,1.318,1.111,3.065,0.299,0.594
18,2.3714124950968074,2.203851734470671,1.491325139837516,0.2113468780940063,0.945,1.214,1.224,3.369,0.249,0.548
19,2.3967402168498877,2.276032848192367,1.7875309183832755,0.09673196607940518,0.946,1.243,1.194,3.247,0.266,0.504
20,2.508584553681736,2.2708963324007367,1.4581972724690706,0.22181567415604314,0.919,1.148,1.418,3.248,0.289,0.524
21,2.508584553681736,2.2752236003624815,1.2276537197106128,0.24912620934943444,0.86,1.197,1.619,3.783,0.241,0.567
22,2.5156744356341845,2.34875089699451,1.6539371068614175,0.1716811094439289,0.851,1.225,1.891,3.542,0.278,0.511
23,2.5362309620193253,2.3287193245563413,1.6049016420198994,0.21412334135645206,0.705,1.432,2.23,3.555,0.343,0.496
24,2.551874253612975,2.340440227804373,1.5301976825149475,0.26521661430125687,0.732,1.343,2.303,3.679,0.462,0.459
