gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
0,1.4728741372367764,1.40330977323896,1.3168345097671292,0.02862117271785138,0.997,0.98,1.008,0.813,0.505,0.496
1,1.7433051141513982,1.4328819057384954,1.2523020860480878,0.08275728233221438,0.974,0.974,0.982,0.848,0.492,0.501
2,1.865408288289672,1.477229608441685,1.2305993347373152,0.11878706622554283,1.011,0.972,0.982,0.841,0.512,0.512
3,1.865408288289672,1.538076600513802,1.1037867681661817,0.14635617821118066,1.005,0.913,1.069,0.841,0.518,0.482
4,1.9133232761181367,1.637220167440944,1.345238024207384,0.14986109155170346,1.099,0.867,1.05,0.938,0.517,0.533
5,1.9373532032698944,1.6628490151104864,0.9674654445156526,0.21080496218981556,1.11,0.958,1.06,1.1,0.52,0.53
6,2.0883377316407654,1.7315109643860382,0.9967188229084346,0.18064834281462258,1.047,1.041,1.006,1.092,0.489,0.536
7,2.2004499404071702,1.8342249941822886,1.561782270550145,0.12846712002616797,1.075,1.208,1.013,1.508,0.512,0.571
8,2.2004499404071702,1.8998203971768668,1.2444808241323189,0.19897859367897217,0.999,1.217,1.151,1.853,0.565,0.534
9,2.211945462706341,1.9741550495809546,1.293834123505107,0.1967209507274547,0.961,1.451,1.123,2.21,0.484,0.605
10,2.2590464499461866,2.059272438038237,1.4405831192969027,0.1715120005304763,1.068,1.514,1.151,2.951,0.518,0.565
11,2.336229465513099,2.1143269373714264,1.5807323517428604,0.16112130362105753,0.993,1.378,0.999,3.429,0.625,0.49
12,2.336229465513099,2.1562292710054245,1.362675898157185,0.20474235438590185,1.022,0.906,1.022,3.783,0.679,0.553
13,2.3778453774770343,2.191069482625375,1.3353240044659955,0.18432184000944762,1.026,0.592,1.028,3.346,0.704,0.672
14,2.3917951925813683,2.218014357837006,1.5682573675147935,0.17422757582646176,0.965,0.654,1.014,3.477,0.736,0.658
15,2.3917951925813683,2.212324627733181,1.0499712724152084,0.23200004718903652,1.047,0.729,0.992,3.585,0.898,0.67
16,2.470417635673984,2.219312744040867,1.4545072878707876,0.2343113768333004,1.126,0.785,1.062,3.712,0.941,0.763
17,2.6187007356653442,2.2351827706453467,0.34360058439650043,0.3287880665311659,1.231,0.936,1.008,3.941,1.178,0.606
18,2.6187007356653442,2.3142369189081298,1.5786503676668384,0.20720042921291226,1.226,1.035,1.118,3.915,1.144,0.506
19,2.6187007356653442,2.2671674234387154,1.3229382144768467,0.2950525735410507,1.345,1.111,1.257,3.664,1.281,0.541
20,2.6187007356653442,2.368479673846959,1.428355952419179,0.24787278566130266,1.138,1.462,1.275,3.808,1.358,0.581
21,2.6850365359158896,2.39113842981572,1.6736249192984265,0.22412040037372416,1.237,1.654,1.137,3.63,1.4,0.505
22,2.6850365359158896,2.349944992893191,1.2244490288679664,0.37440396209821736,1.042,2.161,1.192,3.676,1.33,0.605
23,2.712644309915892,2.4059183819787378,1.3862311285136562,0.31515562441131123,1.026,1.96,1.317,3.814,1.268,0.629
24,2.7291026674510652,2.464420770593042,1.4831808351921287,0.3094703009313527,0.793,1.754,1.622,3.932,1.274,0.877
25,2.7291026674510652,2.475680313848416,1.5557879515914996,0.2661306793843304,0.695,1.558,2.092,3.943,1.311,0.966
26,2.730468298062766,2.4788043220224005,1.6679414729652446,0.28887106379916133,0.779,1.574,2.304,3.857,1.292,0.879
27,2.7375166888458304,2.459101641181164,0.9466687809261058,0.38116719918143716,0.697,1.212,2.039,3.903,1.236,0.948
28,2.73956186224485,2.607475718262304,1.733062899830689,0.1676699143185932,0.245,1.19,1.703,3.874,1.24,0.959
29,2.740146087986991,2.5926673924407355,1.4380215542018824,0.22242484419798217,0.201,1.034,1.831,3.943,1.245,0.885
30,2.744932684368938,2.550433366051572,1.260881524615817,0.31584805780008585,0.303,0.755,2.031,4.104,1.205,0.735
31,2.783533028624679,2.61248075162863,1.5448784353658462,0.20475476258195802,0.448,0.544,2.579,3.959,1.18,0.78
32,2.8441443705768767,2.5670601067375274,1.6295827812079744,0.2758412477578325,0.466,0.563,2.532,3.966,1.174,0.784
33,2.8441443705768767,2.568464209675103,1.5626962827141964,0.2928395599724363,0.421,0.598,2.664,4.02,1.198,0.816
34,2.8441443705768767,2.554392587191231,1.0868810759244247,0.32726586363912974,0.304,0.495,2.88,3.883,1.181,0.815
35,2.8441443705768767,2.6442991330557044,1.552900632986356,0.23530898243052165,0.306,0.467,3.022,3.834,1.115,0.719
36,2.8441443705768767,2.5752112520225166,1.57770445976971,0.29771430520140224,0.319,0.491,3.05,3.935,1.155,0.64
37,2.8441443705768767,2.6103727546587354,1.5009186023662315,0.2916370403528926,0.252,0.439,3.146,4.019,1.147,0.609
38,2.8441443705768767,2.519244401581368,1.3207445610383872,0.378552047403401,0.244,0.39,3.165,4.481,1.182,0.486
39,2.8603080465910264,2.5864300744156066,0.9062382986642916,0.37827763578248536,0.184,0.347,2.995,3.801,1.157,0.567
40,2.874233309078973,2.7040646535730017,1.9305933576719938,0.1894264405855146,0.153,0.316,3.132,4.192,1.184,0.526
41,2.874233309078973,2.646369370674798,1.110700608617194,0.297845938013901,0.156,0.325,3.097,4.026,1.23,0.569
42,2.877697858117726,2.659468413785477,1.7483839984530825,0.2687836412437111,0.171,0.343,2.911,4.302,1.297,0.523
43,2.9033387202740526,2.6708294610723753,0.7600679845262124,0.3773432873459203,0.193,0.413,3.212,4.032,1.339,0.526
44,2.9046198624159443,2.722957905580789,1.1956218599633024,0.31186014024371944,0.192,0.517,3.362,3.866,1.259,0.464
45,2.912495852753399,2.7197918237340364,1.2168724227045757,0.3169108219801032,0.196,0.58,3.532,4.119,1.298,0.464
46,2.912495852753399,2.677865664114182,1.4530222770347831,0.33986881932105206,0.128,0.556,3.65,4.184,1.365,0.508
47,2.912495852753399,2.7030738261956953,1.8681823166042206,0.25949922561472255,0.084,0.644,3.383,3.935,1.292,0.476
48,2.924965037459157,2.5923303798792507,1.466641709730345,0.4125539945118566,0.081,0.585,3.337,4.142,1.392,0.539
49,2.933827120627247,2.755788680985517,1.897624382144209,0.24167500150382693,0.08,0.594,3.417,4.086,1.358,0.573
50,2.933827120627247,2.6444347839962608,1.6575326510170834,0.3349839761376877,0.073,0.592,3.344,4.007,1.44,0.598
51,2.933827120627247,2.6669530220437396,0.9154696302792285,0.4156275079631356,0.081,0.593,3.56,3.838,1.362,0.598
52,2.933827120627247,2.5810626629739066,1.2107739494142111,0.4517027173250792,0.075,0.425,3.324,4.022,1.369,0.595
53,2.933827120627247,2.5988516388257263,1.5217186283324518,0.4133786121193702,0.074,0.478,3.574,3.99,1.49,0.573
