gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
0,1.464282954176426,1.3975768063806775,1.3259562730482801,0.032499053377095785,0.995,0.994,1.013,0.806,0.495,0.498
1,1.6722527320729539,1.408647195581285,1.2508601234546413,0.06933256851288282,1.06,0.953,1.038,0.821,0.488,0.52
2,1.6722527320729539,1.4205370509838235,0.8338135321965444,0.1068796993223526,1.042,0.995,1.287,0.837,0.548,0.509
3,1.8844055275953882,1.496802434723743,1.3029216780021082,0.10566020748565257,1.249,0.976,1.104,0.898,0.472,0.508
4,1.8844055275953882,1.5476499161995674,1.197139400855384,0.13144012716164777,1.619,1.05,1.238,0.961,0.457,0.521
5,2.0963303389420385,1.649265925163063,1.2997809348724525,0.14871581766509454,1.855,1.172,1.267,1.339,0.42,0.54
6,2.0963303389420385,1.6938434252192147,0.8606020276226402,0.23690690573250786,1.95,1.283,1.407,1.568,0.388,0.519
7,2.0967464209960083,1.790983228360717,1.0005302840519943,0.21289766197171667,2.378,1.395,1.729,1.936,0.349,0.526
8,2.1246739605014633,1.825104154158464,0.9468722722788007,0.25672849827336136,2.636,1.314,1.495,2.198,0.366,0.496
9,2.3264256907585437,1.9400052745933638,1.3980828748345853,0.21182673731956014,2.85,1.384,1.273,2.563,0.322,0.447
10,2.4973621074900394,2.0418434982174345,1.2754289480232965,0.22521595068753072,2.792,1.327,1.45,2.818,0.326,0.441
11,2.553405207596186,2.1744463232453493,1.4163435987359982,0.18809865102059303,2.752,1.254,1.501,3.078,0.351,0.498
12,2.553405207596186,2.171603025566314,1.3882903569540437,0.24265339848982478,2.869,1.315,1.869,3.13,0.363,0.527
13,2.5583331959142868,2.182120161535721,1.259596593029098,0.2865944928906958,2.782,1.448,1.705,3.188,0.411,0.493
14,3.1994413091805525,2.234333742071387,1.11249650526945,0.3500276522292007,2.699,1.557,1.509,3.005,0.436,0.488
15,3.1994413091805525,2.2593846588850393,0.8732257761122391,0.4329077872530862,2.74,1.747,1.504,3.1,0.453,0.536
16,3.231184121983846,2.349466347223834,1.4688559909318117,0.43958663789263613,2.812,1.399,1.275,2.995,0.412,0.629
17,3.231184121983846,2.261000204039014,0.4839433344509707,0.5499642613325428,2.612,1.668,1.122,3.269,0.402,0.677
18,3.247795155703237,2.4560557612483858,1.6597550252615074,0.47935773338222276,2.747,1.852,1.071,2.953,0.401,0.718
19,3.3050180828461477,2.5520551658992816,1.336598428092625,0.5268660232257162,2.782,2.159,1.037,2.993,0.36,0.699
20,3.3050180828461477,2.5046598686838393,1.3548901714332,0.5138735078236439,2.546,2.293,1.007,3.371,0.43,0.792
21,3.3435221550809686,2.6249471352530747,1.4326828056882792,0.5722355394791108,2.707,2.511,1.009,3.218,0.412,0.731
22,3.3435221550809686,2.624884892523666,1.3658149245162876,0.5172460090353734,2.733,2.5,1.101,3.129,0.434,0.695
23,3.3435221550809686,2.7108677391019684,1.4261259908139985,0.5306203810632899,2.718,2.519,1.127,3.251,0.416,0.567
24,3.430196163858934,2.735615640123524,1.522808543747735,0.562340637475343,2.79,2.57,1.077,3.299,0.466,0.608
25,3.430196163858934,2.612605295301066,1.203001628822806,0.6403621125006325,2.692,2.815,1.146,3.59,0.541,0.616
26,3.430196163858934,2.6611852127118016,1.173785758125976,0.5668643148060507,2.832,2.631,1.097,3.374,0.687,0.664
27,3.430196163858934,2.543012041660144,0.5284758798742814,0.6260384786829564,2.704,2.858,1.154,3.57,0.74,0.655
28,3.4757098025664703,2.6550857215636285,0.523832504495729,0.6332774762843931,2.628,2.456,1.265,3.713,0.839,0.657
29,3.525692136241085,2.7209989418436944,0.8073547983718874,0.5703025994041572,2.762,2.519,1.305,3.956,1.188,0.694
30,3.525692136241085,2.5722272888409723,0.657655458639216,0.7148129418542639,2.891,2.687,1.347,4.153,1.4,0.627
31,3.525692136241085,2.619892388376419,0.25236791837262296,0.6486484947451439,2.774,2.66,1.303,3.86,1.597,0.618
32,3.525692136241085,2.6939808974466466,1.0854135792822612,0.5668953656662016,2.867,2.658,1.32,3.8,1.727,0.734
33,3.5375551027975543,2.7936982582942096,1.202604366373859,0.6053102182136789,2.836,2.811,1.415,3.937,1.942,0.697
34,3.5375551027975543,2.8191871962609434,1.134146060183908,0.590052763889541,2.844,2.727,1.58,3.911,1.904,0.66
35,3.5460641936533,2.9063293813274025,1.8586251749690335,0.47811617234282744,2.729,2.627,1.53,3.829,1.887,0.689
36,3.5464044408765463,2.8119867028367826,1.879603156791932,0.49843900479652564,2.632,2.82,1.522,3.719,1.86,0.646
37,3.5750173359059936,2.959335707423815,2.084585109060052,0.47837231608294634,2.752,2.723,1.546,3.914,1.751,0.622
38,3.5750173359059936,2.9027908563354092,1.3765291648568052,0.6638944942744984,2.668,2.802,1.669,3.908,1.907,0.723
39,3.5758034471187323,2.879881559901347,0.0,0.6955339865038155,2.752,2.715,1.648,3.993,2.028,0.774
40,3.6698570549262675,2.992046356837851,0.6673228443059895,0.6336970423815225,2.686,2.686,1.963,3.889,1.991,0.869
41,3.699787293400934,2.9905702322588064,1.9169321674083382,0.5291484379667167,2.761,2.815,2.087,3.748,1.865,1.01
42,3.699787293400934,2.9988937163793863,0.8776160836823356,0.6681805922824365,2.867,2.865,2.293,3.823,1.864,1.081
43,3.699787293400934,3.133632813669471,1.8922086031574643,0.5155767937833602,2.592,2.708,2.105,3.983,1.868,0.94
44,3.7009442285137437,3.2246985776114907,1.1040513563095036,0.586859616566332,2.64,2.786,2.196,3.787,2.024,0.828
45,3.732183173706871,2.963262143119227,0.9693278237496729,0.7214196349873733,2.65,2.785,2.112,3.827,2.05,0.705
46,3.732183173706871,3.069671429112582,1.0825277396141428,0.6188886663481752,2.566,2.766,2.116,4.005,1.895,0.66
47,3.732183173706871,2.902681230496849,1.0187644327641736,0.7410133676301827,2.542,2.789,2.117,4.164,1.882,0.582
48,3.732183173706871,2.8280932500020852,0.5175114868932991,0.7360265966827798,2.573,2.798,2.25,4.406,1.993,0.56
49,3.732183173706871,2.81935795325587,0.8519156475206238,0.6770080137446189,2.687,2.767,2.367,4.15,1.898,0.535
50,3.7377224441338504,2.977684251037095,0.8917471319187729,0.7963247990212081,3.044,2.775,2.389,3.835,1.912,0.531
51,3.7631600075302893,3.0933191332175443,0.434801017207036,0.690172473622003,2.651,2.777,2.22,3.96,1.916,0.54
52,3.7631600075302893,3.088639890025141,1.5363207912673447,0.5698408151056753,2.666,2.87,2.034,3.884,1.974,0.504
53,3.7631600075302893,2.807482671106963,0.3536080304271024,0.8981082582350277,2.649,2.883,2.049,3.788,2.348,0.505
54,3.7631600075302893,2.997720270747796,1.7848616028082456,0.5417281122207315,2.726,2.87,2.07,3.827,1.897,0.551
55,3.7770702132920735,3.087374284421244,1.077941755583635,0.6394831324318274,2.643,2.898,2.266,4.088,1.922,0.552
56,3.7770702132920735,3.0947123393019336,1.6895320171112862,0.5846030902142366,2.607,2.661,2.48,4.165,1.895,0.518
57,3.779231613111423,2.9687654943091983,0.8299578857206624,0.6442171800421784,2.725,2.644,2.562,4.056,1.984,0.581
58,3.79092671588112,2.9862068266208066,1.1078021189988376,0.7247756240467568,2.54,2.548,2.896,4.142,2.127,0.588
59,3.79092671588112,2.921475571911709,0.050249694506869225,0.7603559614427611,2.693,2.571,2.652,4.647,2.24,0.557
60,3.79092671588112,2.976796951162048,1.575985505012654,0.6473070857641366,2.657,2.669,2.824,4.773,2.203,0.525
61,3.793013740846961,3.0340183684810076,0.8167686993845155,0.6633281478622503,2.814,2.547,2.579,5.005,2.284,0.54
62,3.848770324201865,3.104780324413076,1.1121663440417515,0.6165838408235941,3.008,2.669,2.63,5.682,2.243,0.441
63,3.848770324201865,3.057476863505789,0.3297056936014202,0.650112122448802,2.882,2.906,2.435,6.373,2.225,0.382
64,3.8493847844750433,3.131351600621232,0.7637406760900386,0.6674421026222578,2.676,2.868,2.487,6.304,2.426,0.468
65,3.8493847844750433,3.075249460956517,0.0,0.7293896838108324,2.68,2.771,2.399,6.933,2.307,0.478
66,3.8910486657486536,3.0311794822369182,1.4817610256577127,0.6961526491676913,2.917,2.939,2.608,6.743,2.406,0.411
67,3.8910486657486536,3.01030590377368,0.4869155557968482,0.7404966101321556,2.707,2.711,2.596,6.974,2.358,0.341
68,3.8910486657486536,2.9940904171443345,0.29570929885199976,0.6867951109001811,2.78,2.763,2.55,7.543,2.549,0.357
69,3.904282573417921,2.8902096088690006,0.0808149956281356,0.8878450060159707,2.75,2.761,2.585,7.406,2.519,0.34
