gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
0,1.4725209852664958,1.3930803140107508,1.2833363175820716,0.03522529905227972,1.012,0.987,0.983,0.8,0.501,0.503
1,1.7649275647829061,1.4270938516092506,1.2694215650548863,0.07542392111770006,0.978,1.026,0.996,0.82,0.492,0.507
2,1.7649275647829061,1.4733461441555094,1.2049502578262357,0.11060468279221644,0.947,0.969,0.992,0.863,0.464,0.534
3,1.7697104438022773,1.5634740780219878,1.330563033011995,0.11683178502937952,0.953,0.997,1.034,0.879,0.441,0.505
4,1.931811155843572,1.6070845432512766,1.2517375224265843,0.14247970459189432,1.018,1.078,1.08,0.82,0.407,0.549
5,2.065088212720132,1.6933095300587662,0.5284506178947144,0.23169051235773244,1.103,1.087,1.079,0.848,0.419,0.556
6,2.065088212720132,1.792363681001023,1.0979884562183284,0.1915297572764538,0.971,1.114,1.048,0.844,0.384,0.548
7,2.1639742036635004,1.8447640964597736,0.5812428750265226,0.24634494610938934,0.933,1.152,1.138,0.904,0.336,0.562
8,2.2179117671151025,1.9047701467098455,1.330957822390258,0.1773212862460973,0.971,1.046,1.238,1.171,0.315,0.651
9,2.2179117671151025,1.9850832359816912,1.5770354997843707,0.15359205022926345,0.9,0.984,1.385,1.443,0.252,0.649
10,2.294553170306188,2.0584950624655662,1.6454744426942571,0.14041648480247715,0.936,1.045,1.33,1.625,0.206,0.659
11,2.5670921665419306,2.121783070785443,1.7201285320360005,0.14467452942671838,0.915,1.019,1.432,2.077,0.173,0.573
12,2.5939655346827246,2.157911812977972,1.052010762435099,0.23402228773127395,0.854,1.088,2.202,2.15,0.087,0.534
13,2.5939655346827246,2.170552908263215,1.5862346229801676,0.21322293735511488,0.789,1.031,2.689,2.265,0.039,0.537
14,2.5940569285272006,2.1807785476965944,0.9185207697921074,0.2926002111799142,0.715,1.187,3.015,2.275,0.039,0.53
15,2.605511826001525,2.2254387505695665,1.3395958948334048,0.2544102524719883,0.703,1.304,2.772,2.178,0.044,0.598
16,2.6427113747997355,2.24981414287347,1.0973860133096744,0.28124915018813673,0.743,1.49,3.002,2.135,0.046,0.597
17,2.6427113747997355,2.1862099719106545,0.6842446144028609,0.3334129804999568,0.79,1.939,3.268,1.949,0.049,0.588
18,2.666091155184232,2.227429969319217,1.0387914826035411,0.3277564228575676,0.965,1.953,3.274,1.84,0.045,0.562
19,2.666091155184232,2.2506939467500153,0.9869220752813805,0.3073836560965374,1.009,2.008,3.479,1.919,0.047,0.534
20,2.666091155184232,2.2084882254452096,1.5178641485828521,0.31113990482241216,0.997,2.382,3.434,1.75,0.046,0.529
21,2.868041918241385,2.298957331290492,1.491544742293944,0.2585420539068518,1.042,2.473,3.697,1.891,0.049,0.532
22,2.868041918241385,2.303845959557448,1.438670229244246,0.3308063832106049,1.248,2.561,3.888,1.965,0.051,0.566
23,2.868041918241385,2.335526248440715,1.1671467545214682,0.3300122755675471,1.185,2.528,3.62,2.037,0.053,0.531
24,3.006763885117267,2.3924748324594796,1.522385270429699,0.3730010009430817,1.059,2.786,3.511,2.186,0.056,0.556
25,3.006763885117267,2.423008702358233,1.6799136284201457,0.32845162257955274,1.141,3.204,3.719,2.196,0.056,0.568
26,3.03112501812891,2.37999143443347,1.0869911888904111,0.4491721476876075,1.153,3.51,3.748,2.401,0.057,0.588
27,3.03112501812891,2.494687439270648,1.6242380811701562,0.3406265088942475,1.077,3.111,3.455,2.606,0.054,0.603
28,3.03112501812891,2.4740383526019345,1.2251406375024014,0.39208408502862097,1.202,3.315,3.663,2.967,0.053,0.548
29,3.0614064912944605,2.4881491595972154,1.1198384513271074,0.40789432016415567,1.213,3.366,3.31,2.942,0.057,0.636
30,3.0923555710982553,2.504693529787213,0.5944908805944318,0.4656604544549905,1.486,3.252,3.509,2.851,0.059,0.611
31,3.0923555710982553,2.5707721331376057,1.4665031520417189,0.39335256373595473,1.262,2.681,3.819,3.054,0.058,0.549
32,3.0923555710982553,2.530642482155323,1.1880314551934839,0.3994312704215274,1.258,2.607,3.328,3.262,0.055,0.583
33,3.0923555710982553,2.5314711457113774,1.2007700575430564,0.4586606341572714,1.34,2.894,3.406,3.269,0.059,0.573
34,3.1152929076662326,2.6929878396095455,1.5969262855952364,0.3811669288537157,1.277,2.775,3.587,3.395,0.058,0.495
35,3.154064871352886,2.6854868570869104,1.3700060578511284,0.4292316819577677,1.261,2.784,3.31,3.515,0.056,0.507
36,3.154064871352886,2.7030661566975276,1.0322551900852115,0.4209728504833781,1.193,2.947,3.109,3.552,0.056,0.575
37,3.154064871352886,2.6314950853094596,1.4892391792839679,0.4036404037065788,1.345,2.939,3.356,3.734,0.059,0.509
38,3.1895791207470063,2.5874600276889197,1.2636535056583218,0.47681726193927226,1.528,3.235,3.751,3.655,0.056,0.509
39,3.1895791207470063,2.5952557975547808,1.2958399570661059,0.4473156131766436,1.198,2.939,3.855,3.587,0.057,0.667
40,3.1895791207470063,2.6607046602192987,0.46901491164423903,0.4396151034683455,1.204,3.235,3.626,3.593,0.056,0.727
41,3.1895791207470063,2.695164081243037,1.6928603940627394,0.36689686262847077,1.155,2.976,3.542,3.909,0.056,0.795
42,3.1895791207470063,2.694940683930886,0.5058404708029927,0.486470119801748,1.258,2.896,3.382,3.8,0.058,0.677
43,3.1895791207470063,2.624921624678099,1.3567662094728004,0.43817760397633654,1.171,2.756,3.469,3.809,0.06,0.636
44,3.1976809060351843,2.706983096359715,1.8490979460293295,0.3686719353741839,1.229,2.753,3.531,3.801,0.057,0.647
45,3.2099120660168206,2.722207465146785,2.022144020750967,0.32717564985428155,1.147,2.651,3.856,3.807,0.054,0.674
46,3.2099120660168206,2.6746604255217687,1.6276311118325633,0.40749056030782155,1.131,2.713,3.606,3.883,0.051,0.659
47,3.2099120660168206,2.7927600582101757,1.6451490151063481,0.37283709472524196,1.118,2.751,3.508,4.017,0.055,0.701
48,3.2112467394571484,2.7150994910197106,0.930651399780509,0.513299245371093,1.127,2.712,3.51,3.939,0.051,0.761
49,3.928460052767128,2.882743506708779,1.803946226980249,0.3731441912803531,1.118,3.082,3.543,3.884,0.053,0.701
50,3.928460052767128,2.8069356159195236,1.489107574666153,0.41671283775128076,1.181,2.886,3.682,4.199,0.059,0.849
51,3.932536396903478,2.840228675331005,1.8558972945956997,0.3703224419632478,1.205,2.88,3.583,4.173,0.061,0.738
52,3.9330961467419243,2.8019914006606523,1.4537111678806927,0.5123661008051751,1.288,2.687,3.621,4.09,0.058,0.83
53,3.9373501007593594,2.8654610490716745,1.457571868513198,0.5152427346490882,1.271,2.726,3.43,4.174,0.059,0.988
54,3.9373501007593594,2.9476536022432596,2.106134537823025,0.5675448013549168,1.029,2.8,3.518,3.95,0.051,1.334
55,3.975605781705219,3.0339205765652792,1.5793564537373395,0.6375083909040054,0.97,2.802,3.539,3.785,0.05,1.492
56,3.975605781705219,2.918803338724475,1.4468038616181855,0.6312038558201641,0.95,2.971,3.482,4.099,0.049,1.541
57,3.9847489679594292,2.937787924081025,1.8738766965186464,0.6405927650667417,0.888,2.915,3.401,3.939,0.054,1.69
58,3.9847489679594292,2.9255645132526853,1.0800601090095923,0.7771318397044168,0.933,2.958,3.724,3.953,0.06,1.945
59,3.984896867981406,2.8755560337616366,1.4238350911395072,0.6825630136893192,1.003,2.905,3.611,3.771,0.066,1.843
60,3.998894352729662,2.891827030053695,1.450997117571385,0.721023516092396,0.89,2.891,3.407,3.855,0.056,1.823
61,3.998894352729662,3.1144651733072397,1.3204109983634087,0.7056008938173826,0.888,2.862,3.44,3.801,0.055,1.707
62,3.998894352729662,2.895952434530333,0.6391474008362614,0.7769838560048538,0.902,2.969,3.479,3.788,0.056,1.89
63,4.022146237247952,2.862979861655818,0.8566401575567568,0.7240273908019158,0.931,2.93,3.511,3.802,0.05,1.868
64,4.022146237247952,2.8891260029530708,1.4326139834162122,0.7508692375376838,0.929,2.941,3.451,3.576,0.048,1.835
65,4.022146237247952,2.803448187188039,1.7495383386458392,0.6340674264797308,1.066,2.855,3.714,3.836,0.047,1.788
66,4.022146237247952,2.9050806625318484,1.2762425298494051,0.8075759142860257,1.034,2.841,3.821,3.684,0.055,1.684
67,4.022146237247952,2.884373128287241,0.892731509117112,0.6947973354938857,0.904,2.976,3.936,3.678,0.057,1.657
68,4.03477593849187,2.9770160078913683,1.787755826791638,0.6678723388878289,0.933,2.804,3.731,3.687,0.054,1.674
69,4.03477593849187,2.8603891766796146,0.33748391910851394,0.8798180066644504,0.907,2.925,4.021,3.824,0.056,1.571
70,4.03477593849187,2.9709338143832458,1.276253849080092,0.8270898527398791,0.895,2.951,3.579,3.831,0.053,1.578
71,4.03477593849187,3.0750263731821734,1.8520710324267309,0.7405672367369446,1.003,2.866,3.565,3.951,0.058,1.622
72,4.03477593849187,3.0166735794904436,0.7390155091874175,0.7972331305168799,0.88,2.807,3.483,3.788,0.064,1.595
73,4.048540588590409,3.151596018296654,2.112550390268118,0.6722288845360004,0.956,2.84,3.503,3.926,0.068,1.541
74,4.048540588590409,2.916018124600423,0.87558274511526,0.7527282448487537,1.019,2.841,3.515,3.886,0.066,1.654
75,4.051218784740846,3.0740569231889907,0.6350985034403513,0.8591108101031946,0.98,2.83,3.44,3.907,0.074,1.544
76,4.054790194714159,2.7470405100466913,1.037175219125057,0.8715644582522645,1.024,3.036,3.456,3.874,0.086,1.665
77,4.054790194714159,2.9261444117966073,0.7425300545101732,0.7976559800116131,1.009,2.924,3.386,3.946,0.077,1.62
78,4.054790194714159,3.026628336730805,1.3742278690647225,0.6599333603779839,1.021,2.82,3.465,4.112,0.077,1.669
79,4.056221903521522,2.887764703032768,0.42826104667952514,0.7689090321410368,0.99,3.013,3.392,4.0,0.066,1.65
80,4.056221903521522,2.896663246394701,0.9081927836613677,0.6709026835097627,0.961,2.949,3.401,3.884,0.061,1.543
81,4.056221903521522,2.8998832042365192,1.3587709052610288,0.72219388870924,0.921,2.798,3.306,3.796,0.063,1.534
