gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
0,1.5029603732720438,1.3979711060498976,1.322274604589282,0.03694593787783888,1.009,0.993,1.011,0.818,0.493,0.504
1,1.732087322931211,1.4165759082314109,1.1835525459580702,0.087435824668888,1.015,1.041,0.929,0.803,0.518,0.509
2,1.7535635231669042,1.482870706078819,1.1906174721461504,0.12407935762445257,1.003,1.122,0.969,0.856,0.519,0.511
3,2.0251014199491792,1.568076519324116,1.245472090476513,0.15438051573279196,1.001,1.174,0.974,0.891,0.541,0.517
4,2.0341438780013283,1.6791388797134457,1.3325195730722073,0.15192971726501384,1.017,1.069,1.004,0.912,0.47,0.546
5,2.0594260773012514,1.785937959969714,1.39286298078019,0.15823227546877827,1.037,1.104,1.014,0.935,0.489,0.533
6,2.0645290415710553,1.8386657267953042,1.3311873065746271,0.17455479147134084,1.034,1.162,1.073,1.01,0.477,0.55
7,2.190444635830269,1.8992748409990086,1.3244670266704595,0.1952996915728526,1.084,1.336,1.122,1.094,0.508,0.536
8,2.1955190667900166,1.9804991370623495,1.3652871316271304,0.1584003680122341,1.028,1.336,1.526,1.291,0.486,0.503
9,2.2584109644309347,2.0467256824140363,1.4495613397334153,0.14297057570862592,1.049,1.555,1.696,1.865,0.489,0.526
10,2.3224292945619425,2.1007539605057226,1.6170107481466744,0.1317341710614532,1.029,1.465,1.636,2.257,0.501,0.525
11,2.323109853600528,2.0890958819663017,1.121919118960931,0.23342271876063556,1.023,1.335,2.113,2.371,0.465,0.538
12,2.323109853600528,2.1882640388747086,1.6037308818543816,0.14914686445629133,1.017,1.424,2.428,2.742,0.461,0.516
13,2.35656645943205,2.1819493347262675,1.3711643928077373,0.22805168453728097,1.018,2.039,3.058,2.768,0.455,0.504
14,2.363614063816255,2.196214044800755,1.4799869011131095,0.22971128945067049,1.044,2.014,3.367,3.095,0.457,0.485
15,2.498723192457792,2.192132104148895,1.1565751042886614,0.2799356787672349,1.069,2.502,3.435,2.743,0.491,0.527
