gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
0,1.50378751246976,1.390044459532592,1.310455977772083,0.03724984025409344,1.003,0.99,1.012,0.813,0.507,0.502
1,1.8247733485760202,1.4092849520033996,1.2607155639408292,0.08278843317025994,1.059,1.007,0.987,0.779,0.478,0.528
2,1.8512147077714214,1.4761819527096345,0.9612681860691004,0.1292677480439494,1.047,0.924,1.068,0.82,0.431,0.554
3,1.990202717829389,1.550051133055824,0.8231574919701907,0.17765043650715068,1.019,0.93,1.212,0.837,0.364,0.602
4,1.990202717829389,1.6565887441524858,1.3162987487897095,0.17616340434183597,1.067,0.971,1.4,0.873,0.34,0.622
5,2.082747320958338,1.6991393648942719,0.927604342679626,0.24150230352268268,1.071,0.953,1.472,0.967,0.282,0.661
6,2.082747320958338,1.818207919329132,0.9357071507056232,0.2146407658736437,1.122,1.008,1.38,1.086,0.25,0.638
7,2.210000854382289,1.9009002050236328,1.4949317385411298,0.16467791815577035,0.981,1.015,1.434,1.384,0.18,0.62
8,2.235145475844495,1.9220994310219195,1.3577101234274775,0.21988307046049313,1.186,1.059,1.71,1.699,0.24,0.633
9,2.3467010927951186,1.9611588215187066,1.2260268943754964,0.25547891518642296,1.136,1.037,2.09,2.164,0.199,0.721
10,2.3467010927951186,2.007043710493118,1.0709315423294468,0.2557646883767356,1.232,1.114,2.114,2.274,0.187,0.718
11,2.3467010927951186,2.0758266443266917,1.1947788056510729,0.23572099098097685,1.411,1.292,2.179,2.431,0.155,0.824
12,2.3490378398816216,2.088729753606162,0.5812394251374622,0.3407752623564509,1.448,1.458,2.205,2.569,0.162,0.712
13,2.3766477690190695,2.156918543360266,1.5816559876655345,0.18702154835276572,1.399,1.299,2.235,2.509,0.196,0.755
14,2.379605344896479,2.085667957702567,1.1167823086957427,0.3307342535508552,1.554,1.26,2.284,2.683,0.174,0.927
15,2.3979437860519375,2.037162282414043,0.8353827677006642,0.4146197245729301,1.496,1.467,2.286,2.667,0.157,0.962
16,2.4217093426016167,2.1697491521707746,1.674633136551249,0.21092067021200525,1.701,1.685,2.346,2.692,0.124,0.784
17,2.4217093426016167,2.1368470933160797,0.9867296391330698,0.32705059781803,1.868,1.814,2.622,2.547,0.107,0.671
18,2.4363505584634995,2.110019972020859,0.6880214040769375,0.36991475312024436,1.827,2.005,2.831,2.594,0.115,0.59
19,2.440855904386819,2.20071594736323,1.482769197292688,0.2431150048282851,1.643,1.726,3.278,2.754,0.09,0.545
20,2.8434283956017636,2.2604437153053056,1.218038594328836,0.30532706854049546,1.635,1.808,2.926,2.901,0.078,0.464
21,3.384732943935545,2.333572111155936,1.5745502507381426,0.3564572620750819,2.195,2.03,3.044,3.022,0.08,0.529
22,3.402780938161751,2.339273596050405,1.1409807645620293,0.40989160579380207,2.497,2.071,2.901,2.993,0.077,0.587
23,3.402780938161751,2.4001578325154664,1.28863102497514,0.37981821646400843,2.656,2.074,2.89,2.903,0.076,0.577
24,3.402780938161751,2.317578716739536,0.48346830849609557,0.5102510704422315,2.815,1.808,2.89,2.972,0.074,0.503
25,3.402780938161751,2.3441152902530646,0.8907980039840939,0.5887196577051417,3.365,2.098,2.998,2.831,0.074,0.58
26,3.402780938161751,2.3224915185778836,0.8522142347818222,0.5701651941310053,3.087,1.896,3.141,3.104,0.077,0.598
27,3.4403447027030185,2.3738227169113144,1.0320778487349853,0.6497502721273112,3.426,1.433,3.447,3.367,0.096,0.656
28,3.4403447027030185,2.520589415121149,0.8364208144987566,0.6728266058831105,4.102,1.368,3.673,3.302,0.117,0.493
29,3.4403447027030185,2.4800367587184122,1.067768311521586,0.6737504442656244,4.361,1.323,3.476,2.784,0.128,0.654
30,3.444384397975844,2.515870240673443,0.0,0.6901900456051009,4.182,1.339,3.587,2.813,0.136,0.937
31,3.444384397975844,2.6229624981906476,1.13899777985313,0.6015133508926516,4.211,1.31,3.351,2.773,0.118,1.026
32,3.444384397975844,2.4623336020089632,0.42459680875023653,0.7099751546148675,4.179,1.402,4.161,2.69,0.134,1.073
33,3.4806222839417003,2.465592969042274,0.7279973001078168,0.6585128903259483,4.169,1.258,4.146,2.693,0.143,1.067
34,3.4806222839417003,2.4858176616891416,1.295381041494378,0.5968586788391492,4.316,1.317,4.008,3.198,0.152,1.05
35,3.4806222839417003,2.442551078999448,0.7089832179542461,0.684174837128084,4.492,1.377,3.972,2.625,0.148,1.156
36,3.518071000848626,2.663388972221645,1.1683355473736616,0.659869480909961,4.47,1.337,3.766,3.116,0.142,1.242
37,3.518071000848626,2.7479384541240055,1.3858547321254997,0.5046222890842665,4.515,1.414,3.737,2.623,0.13,1.129
38,3.518071000848626,2.5254619879933635,1.245269508456973,0.628159279670767,4.296,1.343,3.867,2.867,0.133,0.998
39,3.518071000848626,2.4498157093615953,0.35989186996533507,0.7108856330888795,4.512,1.472,3.739,3.154,0.136,1.065
40,3.518071000848626,2.4735384558200346,0.7270387139136583,0.6096709821578855,4.212,1.302,3.645,3.203,0.131,0.84
41,3.518071000848626,2.5544258970021714,0.9837004359466825,0.6691384521020443,4.406,1.259,3.504,2.648,0.138,0.706
42,3.518071000848626,2.6356411859860973,0.6315852534683384,0.5966150567928855,4.033,1.303,3.636,3.007,0.147,0.74
43,3.518071000848626,2.478252016434758,1.1283798491065715,0.5755881515979857,4.19,1.297,3.742,2.77,0.153,0.804
44,3.518071000848626,2.4655347481221837,1.245941783380339,0.6300343165368985,4.57,1.336,3.288,2.994,0.181,0.836
45,3.518071000848626,2.5105275373842426,0.5897770937074607,0.721603355058094,4.313,1.305,3.402,3.261,0.15,0.734
46,3.518071000848626,2.435561574128128,0.029448732892643825,0.739274344143841,4.379,1.225,3.402,3.373,0.131,0.886
47,3.518071000848626,2.5656759850479007,0.5622507312393923,0.7071123603629461,4.299,1.264,3.745,3.086,0.129,0.923
48,3.520152257837064,2.6525895027024387,0.9572350449409954,0.6977104944203277,4.242,1.275,3.568,3.414,0.137,0.806
49,3.588049837442859,2.774473684783915,1.2865723391713804,0.5581111614406453,4.506,1.426,3.816,3.56,0.146,0.808
50,3.589794768859203,2.683155578679283,0.5671131440213519,0.6900901297473288,4.424,1.305,3.931,3.454,0.154,0.809
51,3.6053988160712005,2.6469196294600716,0.0,0.7005631747708284,4.422,1.256,4.072,3.543,0.141,0.757
52,3.6053988160712005,2.529272486032756,1.4040406571469966,0.578182622613909,4.225,1.354,4.062,3.802,0.14,0.523
53,3.6053988160712005,2.6159264220769467,1.2498289562680822,0.5765817157381383,3.662,1.388,3.957,3.711,0.146,0.418
54,3.6053988160712005,2.495702990613718,0.4082327374525656,0.6765847256340043,3.878,1.362,4.008,4.068,0.143,0.295
55,3.6402582115586903,2.5681683541293476,1.6921191374752125,0.5858690468325082,4.119,1.387,4.015,4.376,0.133,0.339
56,3.941661705368414,2.620201874042603,0.431069714902919,0.759112038708357,3.964,1.307,4.084,4.351,0.136,0.436
57,3.941661705368414,2.6727673187685235,0.0,0.7669193010764953,4.262,1.343,3.496,4.556,0.161,0.457
58,3.941661705368414,2.5395060172065014,1.113560086463868,0.669605461445819,4.291,1.396,3.058,4.236,0.174,0.541
59,3.941661705368414,2.539053691107344,0.6904081056568732,0.6961588366001417,4.187,1.302,2.371,4.517,0.177,0.569
60,3.941661705368414,2.580273622425238,0.41062920750446796,0.7186585440318471,4.052,1.37,1.96,4.07,0.149,0.51
61,3.941661705368414,2.4570686266133306,1.0481068004005352,0.6839114084506851,3.849,1.352,1.612,4.094,0.183,0.461
62,3.941661705368414,2.5044113713961234,1.0842217961272973,0.6625688974578955,3.809,1.458,1.86,4.237,0.138,0.407
63,3.941661705368414,2.425003106196661,0.0,0.7566501898630501,3.928,1.58,1.788,4.537,0.117,0.58
64,3.941661705368414,2.5739544766709326,0.42378080496719095,0.771835169754446,3.121,1.731,1.794,4.327,0.081,0.661
65,3.941661705368414,2.573292420501446,0.6450203783423634,0.6969409216258577,3.362,2.027,1.876,4.139,0.06,0.765
66,3.941661705368414,2.4409104074968657,0.440897685611066,0.7718856624676037,3.025,1.694,1.972,4.047,0.072,0.958
67,3.941661705368414,2.5389867861223068,0.0,0.8362027164390706,3.143,2.293,2.565,3.873,0.064,0.925
68,3.941661705368414,2.5172676612229257,1.1960963669731006,0.6392435913774319,3.033,1.756,2.199,4.029,0.044,0.901
69,3.941661705368414,2.479265083797102,0.9281464317184791,0.6507543241128018,3.44,1.948,2.077,3.891,0.048,1.025
70,3.941661705368414,2.5292395571825104,0.5721461710472544,0.7308754159985317,3.306,2.006,1.989,3.924,0.063,1.073
