gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
0,1.499998519315109,1.399782938237429,1.3380534003602067,0.0340740962357584,1.009,0.999,1.03,0.813,0.489,0.503
1,1.6480648844765335,1.4289831773554695,1.2794535909927387,0.06276102257933412,1.005,1.002,1.0,0.83,0.528,0.493
2,1.6592465592541097,1.4722446072274094,1.2303427125163306,0.08262447574107792,1.018,1.082,0.983,0.918,0.518,0.492
3,1.6938014857861,1.525588963652057,1.384038611332503,0.09136031669922033,1.04,1.02,0.991,0.966,0.517,0.476
4,1.9923152439902634,1.583548830417992,1.353507281205844,0.1273093113241958,1.031,0.876,1.108,1.066,0.521,0.466
5,1.9923152439902634,1.6833601733150496,1.36642422405526,0.1555896249988436,0.997,0.735,1.302,1.331,0.515,0.455
6,2.2314426340216373,1.8029435709323804,1.3973267567887604,0.16468848998415395,1.012,0.623,1.62,1.481,0.527,0.455
7,2.2314426340216373,1.8745469151268532,1.4455093870757731,0.1624350936083114,1.023,0.66,1.925,1.481,0.531,0.477
8,2.2314426340216373,1.9689408331744915,1.5332626731460728,0.13202457881943808,0.991,0.848,2.275,1.484,0.535,0.488
9,2.30010347105495,2.028873298314202,1.416250831083878,0.14438556369923225,1.003,0.815,2.429,1.799,0.595,0.488
10,2.3003826210061034,2.0838673253322924,1.3301269800992697,0.16867148470724957,0.984,0.788,2.427,2.36,0.6,0.491
11,2.374763094505306,2.142680276849537,1.3627154600244167,0.17001957822947397,0.958,0.739,2.719,2.584,0.598,0.496
12,2.374883865979011,2.207705370891373,1.7464430264225652,0.12723382748758175,0.894,0.909,2.586,2.624,0.704,0.494
13,2.374883865979011,2.270840244596755,1.861584573591154,0.07668229646042594,0.886,0.933,2.732,2.662,0.652,0.483
14,2.419816035817951,2.2668590418472947,1.62153276902439,0.1471685303372013,0.901,1.051,2.929,2.723,0.7,0.489
15,2.4287799318957446,2.2727226189022756,1.0428375312262719,0.2342523394996217,0.93,1.061,2.895,2.767,0.7,0.478
16,2.4294537895057253,2.351868228860683,2.0327343677590726,0.06486120300533484,0.966,1.104,2.934,2.99,0.781,0.507
17,2.434128037875993,2.3611810587127042,1.1923990776491193,0.17426149771457014,0.958,1.144,2.943,3.064,0.924,0.551
18,2.478189464846676,2.3727904316079513,1.8114809715315303,0.14764833224528648,0.969,1.152,2.996,3.153,1.278,0.595
