gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
0,1.4314528286102968,1.3937413389998747,1.3277310492088832,0.022317658886359372,1.0,0.976,0.982,0.781,0.482,0.489
1,1.587883326999472,1.4009720642021044,1.2914141303378641,0.05190368545562555,1.087,0.989,0.94,0.803,0.472,0.532
2,1.5909665187816173,1.452218277440578,1.2458445685580801,0.09727281262380953,1.268,1.032,0.98,0.948,0.47,0.688
3,1.735592528496964,1.5334684633377091,1.3704827784174596,0.09783222232813421,1.412,1.189,0.984,1.142,0.574,0.886
4,1.7716251181937832,1.5840554960032271,1.2841925628394835,0.10371939733251657,1.392,1.387,0.992,1.056,0.427,0.9
5,1.877384739371695,1.66747644038612,1.2897111380632034,0.1321210587168608,1.481,1.581,0.993,1.374,0.429,0.878
6,1.9751578383131578,1.7330976527226167,1.2909762781061171,0.14902353706933102,1.736,1.25,1.084,1.744,0.404,0.865
7,2.0185796550807016,1.7825161302178565,1.061269425410365,0.2147310805253009,2.608,1.115,0.993,1.965,0.441,0.845
8,2.0188602479189974,1.8722599387423084,1.4622780608022374,0.15576106076494908,2.014,1.18,0.964,2.08,0.457,0.762
9,2.256566807786791,1.9302680515883768,1.6848390947360454,0.13368854158790597,2.301,1.1,0.964,2.063,0.417,0.621
10,2.256566807786791,1.9655748430809434,1.5462325788091595,0.1573631106195043,2.606,0.98,0.959,2.347,0.446,0.641
11,2.256566807786791,2.0048450777257845,1.4088147080914593,0.17939776031724808,2.632,1.024,1.035,2.47,0.498,0.733
12,2.256566807786791,2.0680992232488524,1.3001896446831607,0.20984983204098806,2.081,1.001,1.061,2.685,0.466,0.687
13,2.2608594534644713,2.116557573812621,1.4047007319411207,0.19479853341528028,2.095,1.042,0.996,2.932,0.415,0.654
14,2.2975465392472083,2.1690115882522805,1.6371726878750466,0.1645925756763105,2.49,1.083,0.997,2.569,0.478,0.547
15,2.415859725297024,2.20123834079983,1.9633475757939651,0.12779961110604912,2.623,1.086,0.984,2.725,0.567,0.406
16,2.415859725297024,2.244281934805646,1.7269017927303714,0.18898844651260366,2.675,1.205,1.051,2.822,0.564,0.434
17,2.4716128121685483,2.3135986329831613,1.9334606955336184,0.11863630664649881,2.414,1.161,1.17,2.934,0.524,0.378
18,2.542732277257244,2.259674608730559,1.246966041893102,0.28727968698391804,2.904,1.029,1.265,3.192,0.48,0.364
19,2.5443779034139045,2.291598016281379,1.403203112831246,0.25766070003486746,2.808,1.029,1.158,3.446,0.437,0.384
20,2.544580556772934,2.367246093085848,1.9545602483335525,0.1648630403729739,2.696,1.043,1.166,3.408,0.44,0.422
21,2.5624214141109984,2.400566652232991,1.518680311330814,0.24118249854869686,2.795,1.034,1.078,3.419,0.438,0.395
22,2.578238150070828,2.3242892226016414,1.5950713509930985,0.2977675425171711,2.762,1.043,0.991,3.239,0.456,0.402
23,2.587772641778022,2.469006624782133,1.9239570839146933,0.16045727619162675,3.129,1.043,0.993,3.492,0.458,0.401
24,2.587772641778022,2.47048637170704,2.000158314106322,0.16372171302301,3.292,1.053,0.969,3.607,0.606,0.471
25,2.6463096410370732,2.461997289838257,1.511768932127333,0.27874303493418584,2.887,1.163,1.152,3.698,0.769,0.43
26,2.6593958241481745,2.511525121864419,2.007361275659914,0.18300375091655222,2.833,1.205,1.154,3.721,0.803,0.394
27,2.6780904921322266,2.523338375872748,1.7339616640412612,0.23534588194899309,2.862,1.374,0.952,4.092,0.813,0.398
28,2.721110485981005,2.489263145393104,1.900909959668105,0.2561639153515723,2.701,1.43,0.953,3.727,0.979,0.41
29,2.721110485981005,2.552846995406384,1.5376083655691346,0.24776416128651485,2.473,1.175,0.945,3.88,1.082,0.413
30,2.744893770436899,2.5908735964675635,2.054648536118236,0.16239061458270176,2.876,1.478,1.016,3.917,1.182,0.412
31,2.766953415319866,2.5630850340824773,1.7153205840705446,0.28265503315639035,2.69,2.11,1.107,3.955,1.499,0.399
32,2.792234353643693,2.406429692538515,1.255354528261246,0.41530122797629415,2.837,3.255,1.014,4.332,1.506,0.415
33,2.792234353643693,2.5869780569031238,2.215150007237564,0.17558629036816317,2.721,2.413,0.849,4.476,1.687,0.428
34,2.792234353643693,2.580922278309666,2.012980320053891,0.19949291403158925,2.968,2.303,1.077,3.839,1.576,0.439
35,3.366395230181115,2.677201632850518,2.0703661974295993,0.2473549335164728,2.94,2.868,1.087,3.912,1.616,0.495
36,3.366395230181115,2.7403696021409654,2.025354628144314,0.26541941556756915,2.955,3.024,1.034,4.117,1.666,0.497
37,3.57473110863423,2.7608769812696594,1.7672961846001716,0.410241592097779,3.308,3.144,1.072,4.319,1.723,0.452
38,3.57473110863423,2.6698416863112024,1.8076492899925132,0.4724102996421281,3.029,3.387,0.971,4.397,1.644,0.45
39,3.57473110863423,2.7274805062913816,1.7188656595743128,0.5275795053696715,2.987,3.191,0.956,4.362,1.824,0.432
40,3.57473110863423,2.601866000777298,1.8910728993064125,0.4743305241974446,2.834,3.444,0.903,4.739,1.692,0.449
41,3.577997209131342,2.9399544314282924,2.1884915865242753,0.4924921025351363,3.128,3.109,0.964,4.387,1.699,0.478
42,3.5867353690500474,2.7871977548038265,1.5183456564477167,0.6038639769998879,2.721,3.42,0.922,4.746,1.629,0.458
43,3.926885709965961,2.9198502950112544,1.9839491056503036,0.6701127678806583,2.811,3.154,0.936,5.013,1.537,0.463
44,3.926885709965961,2.816556905017131,1.723878488523316,0.6718303083528055,2.559,3.292,0.929,4.7,1.479,0.467
45,3.926885709965961,2.736646189211491,1.3425417725369697,0.7767242238991263,3.175,3.118,0.907,4.503,1.565,0.482
46,3.926885709965961,2.8376583638562622,1.9634884659233225,0.6781318875591565,2.823,3.277,0.916,4.503,1.73,0.591
47,3.9502983687449977,3.1484745619487127,2.0422544928910913,0.6241693762555126,2.846,3.203,0.962,4.756,1.815,0.5
48,3.9516751699789343,3.0286389728572307,1.6784818614538268,0.7558682108766477,3.487,2.987,1.089,4.903,1.948,0.486
49,3.9516751699789343,3.0222066311616844,1.9424429971393742,0.6515184947673716,2.89,3.245,1.229,4.958,2.227,0.489
50,3.9998403173513726,3.032946692628877,1.7651054150759364,0.7586343493977111,2.903,3.247,1.017,3.742,2.358,0.452
51,3.9998403173513726,3.1589473545623026,1.7091452082718048,0.7670930196233372,3.129,3.188,0.939,3.728,2.274,0.446
52,3.9998403173513726,2.9285321209618,1.9137201426648438,0.7469169658022842,2.824,3.415,0.893,4.0,2.406,0.445
53,4.0082328279747514,3.0748014044408722,1.436148599316832,0.8204125656876946,2.815,3.099,0.913,4.062,2.357,0.443
54,4.0082328279747514,3.1330687710487926,2.0985967724083214,0.695986095679776,2.838,3.173,0.888,4.54,2.519,0.453
55,4.050999004239048,3.360243888799836,1.6608755466211054,0.7326008758801982,2.832,3.531,1.146,4.627,2.431,0.51
56,4.050999004239048,3.0134044642983,1.2107963088790878,0.7606163825390317,2.817,3.012,1.071,4.49,2.294,0.476
57,4.050999004239048,3.3869343035975015,2.0301626741283836,0.6646452602617005,2.82,3.065,1.368,4.684,2.404,0.58
58,4.098966366665021,3.5634452673546617,2.211165692200687,0.6063370855058497,3.149,3.03,2.63,4.885,2.766,0.548
59,4.102667428767572,3.582952786518816,2.0659466221620972,0.7390713939299035,2.901,3.832,2.828,5.222,2.555,0.57
60,4.102667428767572,3.5986948335078575,2.080816705766084,0.6106256596152895,2.875,3.187,3.174,5.052,2.466,0.675
61,4.102667428767572,3.3314652745723605,2.193283913318542,0.695276305606393,2.907,3.18,2.952,5.126,2.479,0.784
62,4.128444650017971,3.113505780730924,1.9445264910233755,0.7883795813398473,2.865,3.015,3.281,5.661,2.145,0.879
63,4.128444650017971,3.272392066503258,2.1280838585408617,0.7186092746318479,2.791,3.178,2.928,5.638,2.067,0.894
64,4.128444650017971,3.1958250956244405,1.9284448078732794,0.659446891527806,2.842,3.22,2.976,6.573,2.336,1.092
65,4.128444650017971,3.004942787382783,1.5377432866837395,0.7238471057007515,2.802,3.425,3.019,6.477,2.401,1.129
66,4.128444650017971,3.0496525536233796,1.3871747931138692,0.8178566858525023,2.794,3.548,3.002,6.76,2.502,1.163
67,4.130512322303201,2.896162491848501,1.472686753139991,0.6890594219143475,3.066,3.248,2.99,7.165,2.512,1.178
68,4.130512322303201,2.9600992465808122,1.1047104768274938,0.9035389814328301,2.765,3.188,3.023,7.481,2.543,1.245
69,4.130512322303201,3.266436536727325,1.3449468781111942,0.7264615763490557,2.757,3.19,3.167,7.51,2.577,1.207
70,4.130512322303201,3.3871376365681924,1.9864080479840482,0.6229506236049306,2.803,3.212,3.834,7.217,2.776,1.243
71,4.159431306394934,3.1964047560277313,1.208446559872312,0.8608720011522955,2.844,3.075,3.834,7.661,2.507,1.251
72,4.159431306394934,3.2319886214873295,1.5535058898847491,0.8001017773157457,2.868,3.863,4.074,7.847,2.293,1.173
73,4.160072633829686,3.2925057704622773,1.5293203316951243,0.751649526468425,3.136,3.289,3.449,7.77,2.33,0.894
74,4.160072633829686,3.237333057833465,2.1804401362700396,0.7204977499650406,2.879,3.331,3.129,8.558,2.283,0.751
75,4.1610679344003305,3.279130375810862,2.186071418548441,0.6097298556042168,2.712,3.481,3.05,8.198,2.516,0.583
76,4.171426112517911,3.0629362130438085,0.8350953012209925,0.9124803444407543,3.438,3.467,3.17,9.092,2.51,0.801
77,4.1723002792838795,3.2161045590346333,0.9291533861558579,0.9236889127790143,3.134,3.553,3.506,8.983,2.586,0.928
78,4.1723002792838795,3.4182035655529353,2.1208540702578214,0.8040531405146695,3.151,3.353,3.091,9.202,2.569,0.941
79,4.189710458430609,3.255963191440098,2.1135156696501802,0.7108222078315309,3.145,3.679,3.361,9.663,2.494,1.446
80,4.189710458430609,3.2990133914825512,1.7343278810983147,0.743399539677567,2.709,3.417,3.844,9.802,2.507,1.325
81,4.189710458430609,3.270088767582898,2.0012993763650275,0.7456152441688109,2.708,3.552,4.447,9.824,2.638,1.27
82,4.189710458430609,3.1668858726036246,1.3467485373486108,0.836004893987939,2.547,3.404,3.547,10.0,2.637,1.329
83,4.189710458430609,3.332836784687193,1.5695034391343086,0.7568557539977309,2.585,3.483,3.25,9.846,2.535,1.293
84,4.214262972804578,3.408279252775544,1.6798634171616897,0.7677373220013901,2.814,3.385,3.059,9.906,2.585,1.33
85,4.214262972804578,3.4980259808933356,2.6655310205694653,0.6279666025507038,2.657,3.222,2.859,9.902,2.58,1.472
86,4.214262972804578,3.2328466482309244,2.047505936952744,0.6741310920570777,2.784,3.33,3.242,9.902,2.615,1.535
87,4.214262972804578,3.6452988268011497,2.4237738906331887,0.5872729839304422,2.813,3.395,3.41,9.78,2.633,1.505
88,4.214262972804578,3.4533931666069058,2.159200876788204,0.6853345531375867,2.663,3.314,3.287,10.0,2.944,1.38
89,4.214262972804578,3.377025695052616,0.29085588244672733,0.9286615327174573,2.813,3.347,3.038,9.55,3.222,1.227
90,4.222354473619376,3.5000910363852342,1.5672422077128583,0.817317184639014,3.093,3.248,2.797,10.0,3.456,1.472
91,4.717563099956247,3.367314359968862,0.46295589488385236,0.9781832791819577,3.143,3.244,2.808,10.0,4.047,1.596
92,4.717563099956247,3.4179964700953227,1.2659434045939655,0.8217132377376517,3.428,2.937,2.933,9.55,4.695,1.438
93,4.717563099956247,3.6029874470128362,2.1336658957777273,0.7880390813270289,3.441,3.227,2.955,10.0,4.238,1.089
94,4.717563099956247,3.512757701499779,2.065895114666233,0.8296471539110659,2.861,3.562,2.841,9.78,4.147,1.034
95,4.727259965011331,3.6346729737166035,1.4334198031984415,0.8513148608511287,2.911,3.225,2.97,9.55,4.742,0.957
96,4.8920868286519905,3.5179858287223795,1.9913269964408684,0.8601567123096561,2.886,3.085,2.78,9.222,5.548,1.209
97,4.8920868286519905,3.535844549112255,1.8526167710673875,0.8328032340719931,2.78,2.866,3.012,9.936,5.638,0.871
98,4.8920868286519905,3.658184073983584,1.7457815497652964,0.8882225205268145,2.83,3.072,2.925,9.937,6.864,1.048
99,4.8920868286519905,3.6304196640259128,0.08925389211347445,1.1027910981533373,2.871,2.955,2.667,9.428,7.994,1.708
